"","LocationAbbr","CMMR_Barcode","Target","Ct","copiesperml","SampleName","date_of_collection"
"1","JT","FGUNVD","CHIKUNGUNYA","Undetermined",0,"JT-23-24773",2023-07-25
"2","JT","FGUNVD","CHIKUNGUNYA","Undetermined",0,"JT-23-24773",2023-07-25
"3","FH","W9R9E4","CHIKUNGUNYA","Undetermined",0,"FH-23-24774",2023-07-25
"4","FH","W9R9E4","CHIKUNGUNYA","Undetermined",0,"FH-23-24774",2023-07-25
"5","HS","FTJLXC","CHIKUNGUNYA","Undetermined",0,"HS-23-24775",2023-07-25
"6","HS","FTJLXC","CHIKUNGUNYA","Undetermined",0,"HS-23-24775",2023-07-25
"7","RB","FHR4LA","CHIKUNGUNYA","Undetermined",0,"RB-23-24776",2023-07-25
"8","RB","FHR4LA","CHIKUNGUNYA","Undetermined",0,"RB-23-24776",2023-07-25
"9","AS","LQU35B","CHIKUNGUNYA","Undetermined",0,"AS-23-07-26",2023-07-26
"10","AS","LQU35B","CHIKUNGUNYA","Undetermined",0,"AS-23-07-26",2023-07-26
"11","TC","FPXPHE","CHIKUNGUNYA","Undetermined",0,"TC-23-07-26",2023-07-26
"12","TC","FPXPHE","CHIKUNGUNYA","Undetermined",0,"TC-23-07-26",2023-07-26
"13","MC","ZUUDLZ","CHIKUNGUNYA","Undetermined",0,"MC-23-07-26",2023-07-26
"14","MC","ZUUDLZ","CHIKUNGUNYA","Undetermined",0,"MC-23-07-26",2023-07-26
"15","IA","LJFMF2","CHIKUNGUNYA","Undetermined",0,"IA-23-07-26",2023-07-26
"16","IA","LJFMF2","CHIKUNGUNYA","Undetermined",0,"IA-23-07-26",2023-07-26
"17","PT","TTR8QC","CHIKUNGUNYA","Undetermined",0,"PT-23-07-26",2023-07-26
"18","PT","TTR8QC","CHIKUNGUNYA","Undetermined",0,"PT-23-07-26",2023-07-26
"19","HO","P6HQ7E","CHIKUNGUNYA","Undetermined",0,"HO-23-07-26",2023-07-26
"20","HO","P6HQ7E","CHIKUNGUNYA","Undetermined",0,"HO-23-07-26",2023-07-26
"21","LB","C2SPP5","CHIKUNGUNYA","Undetermined",0,"LB_TX1 -2023-07-26",2023-07-26
"22","LB","C2SPP5","CHIKUNGUNYA","Undetermined",0,"LB_TX1 -2023-07-26",2023-07-26
"23","WF","DMR3YV","CHIKUNGUNYA","Undetermined",0,"Wichita Falls-07-25-2023",2023-07-25
