sample_ID	variant	proportion	coverage
YM66DD.p1616	BE.1.1	0.257143	10.667825970638397
YM66DD.p1616	XBV	0.14285699	10.667825970638397
ME4WRV.p1732	BN.1.4.2	1.0	5.243621041367087
JS26MJ.p1716	GK.3.2	0.592593	5.64826271611544
JS26MJ.p1716	JJ.1	0.407407	5.64826271611544
ZR846F.p1675	FL.36	0.1	5.922482694044076
ZQP3RF.p1716	HL.2	0.19999999	11.289837140086279
ZQP3RF.p1716	HL.1	0.19999999	11.289837140086279
ZQP3RF.p1716	XBB.1.42.2	0.19999999	11.289837140086279
ZQP3RF.p1716	XBB.1.42.1	0.19999999	11.289837140086279
ZQP3RF.p1716	XBB.1.42	0.19999999	11.289837140086279
A5B3KB.p1616	BQ.1.1.75	0.71428595	12.403437782162325
22-30172.p1585	BE.3	0.92011445	5.504464435006521
IA-22-0719.p1552	BA.5.9	1.0	7.898873022773635
Q65HRE.p1600	CN.1	1.0	11.75801759020834
THMRAP.p1700	XCY	0.99999999	5.410828344982109
JT-22-17201A.p1552	XAC	1.0	7.129719426144534
RB-22-18445.p1552	XAS	1.0	8.33026786610039
NTG9TN.p1716	XCG	0.99999976	32.64220981172458
CS9LYQ.p1616	BE.9	0.71428599	11.420258836905996
CS9LYQ.p1616	XAS	0.285714	11.420258836905996
C6NCNH.p1623	XAN	0.97618937	30.926662876634452
CFGMJA.p1716	HF.1	0.33333333	5.11654349061967
CFGMJA.p1716	HF.1.2	0.33333333	5.11654349061967
CFGMJA.p1716	XBB.1.16.13	0.33333333	5.11654349061967
ASZN2W.p1623	BE.10	0.25	8.520884192221516
ASZN2W.p1623	BE.5	0.25	8.520884192221516
ASZN2W.p1623	BE.3	0.25	8.520884192221516
ASZN2W.p1623	BA.5.3.1	0.25	8.520884192221516
Z9L2GB.p1716	FP.3	0.99999998	9.059291709861887
MC-22-0815.p1562	BA.5.2.59	0.5	10.112697722636526
MC-22-0815.p1562	BA.5.2.8	0.5	10.112697722636526
TC-22-0712.p1552	BA.4.8	0.9166667	13.36320770491255
EG2H55.p1732	JF.2	0.33333333	5.865632210814969
EG2H55.p1732	XBB.1.16.6	0.33333333	5.865632210814969
EG2H55.p1732	JF.1	0.33333333	5.865632210814969
aftquk.p1623	XBW	0.28571393	16.941444002274018
R4YVGH.p1616	BA.5.3.1	0.29999997	15.677356786944454
R4YVGH.p1616	BE.1.1.1	0.29375002	15.677356786944454
R4YVGH.p1616	BQ.1.1.5	0.24552786	15.677356786944454
RB-22-17204B.p1552	BG.1	0.589744	11.196201050061866
RB-22-17204B.p1552	BA.2.39	0.410256	11.196201050061866
RB-22-27752.p1562	BE.2	1.0	7.915593753135137
RB-22-20962.p1552	BE.2	0.533333	29.56225127913587
RB-22-20962.p1552	BA.4.8	0.241071	29.56225127913587
tb2dpf.p1623	FH.1	0.5	19.964552051633614
tb2dpf.p1623	XBB.1.5.17	0.5	19.964552051633614
PT-22-0706.p1552	AY.41	1.0	49.513426746480285
L7YKQM.p1616	BE.1.4.2	0.23076898	10.119386014781126
G63MXE.p1616	XBB.1.21	0.59999999	15.510149483329432
S8KPUK.p1700	FY.6.2	0.99999997	7.474166471591479
C-UW68.p1716	BA.2.10.4	0.27272692	13.393305019563254
MC-22-0712.p1552	BA.5.2	0.692308	9.203089990970806
LV2SUJ.p1716	JR.1.1	0.888889	5.885697087248771
QYKEAQ.p1600	BA.5.11	0.99999988	28.191151389492692
IA-22-0802.p1552	XBE	0.2908373	6.758519212119185
JT-22-17673.p1552	XAC	0.93749997	8.915493428752969
RB-22-24168.p1562	BA.5.2	0.47368398	37.01300872822125
RB-22-24168.p1562	DH.1	0.25352098	37.01300872822125
RB-22-24168.p1562	BA.5.1.22	0.25352098	37.01300872822125
