sample_ID	variant	proportion	coverage
EU7JTV.p1785	JN.1.1	0.33333333	7.072868942915426
EU7JTV.p1785	JN.1.2	0.33333333	7.072868942915426
EU7JTV.p1785	JN.1	0.33333333	7.072868942915426
XPN4PL.p1785	JN.10	1.0	5.166705681704177
WGFMVC.p1785	JN.1.1	0.33333333	5.691736615055346
WGFMVC.p1785	JN.1	0.33333333	5.691736615055346
WGFMVC.p1785	JN.1.2	0.33333333	5.691736615055346
XXE5ZA.p1785	JN.1	0.5	7.838678393472227
XXE5ZA.p1785	JN.1.2	0.5	7.838678393472227
DSGMUK.p1785	JN.8	0.11111111	7.761763033809316
DSGMUK.p1785	JN.5.1	0.11111111	7.761763033809316
DSGMUK.p1785	JN.7	0.11111111	7.761763033809316
DSGMUK.p1785	JN.10	0.11111111	7.761763033809316
DSGMUK.p1785	JN.2	0.11111111	7.761763033809316
DSGMUK.p1785	JN.3	0.11111111	7.761763033809316
DSGMUK.p1785	JN.5	0.11111111	7.761763033809316
DSGMUK.p1785	JN.6	0.11111111	7.761763033809316
DSGMUK.p1785	JN.9	0.11111111	7.761763033809316
BQSVV4.p1785	JN.1.1	0.5	12.473664849680635
BQSVV4.p1785	JN.1	0.5	12.473664849680635
GTHDA8.p1785	BA.2.86.4	0.16666667	11.594154432665619
GTHDA8.p1785	JN.4	0.16666667	11.594154432665619
GTHDA8.p1785	BA.2.86.5	0.16666667	11.594154432665619
GTHDA8.p1785	BA.2.86.2	0.16666667	11.594154432665619
GTHDA8.p1785	BA.2.86.1	0.16666667	11.594154432665619
GTHDA8.p1785	BA.2.86	0.16666667	11.594154432665619
YPNMAF.p1785	FL.32.1	1.0	10.748085476373609
GG7JAQ.p1785	JN.1.2	0.33333333	8.761662709427148
GG7JAQ.p1785	JN.1.1	0.33333333	8.761662709427148
GG7JAQ.p1785	JN.1	0.33333333	8.761662709427148
FN6HV2.p1785	JN.1.2	0.5	20.031434973079623
FN6HV2.p1785	JN.1	0.5	20.031434973079623
PBACKG.p1785	JN.1	0.33333333	10.015717486539812
PBACKG.p1785	JN.1.1	0.33333333	10.015717486539812
PBACKG.p1785	JN.1.2	0.33333333	10.015717486539812
M75EVF.p1785	JN.1	0.5	10.246463565528542
M75EVF.p1785	JN.1.2	0.5	10.246463565528542
WE9KKY.p1785	JN.1.1.1	0.470588	6.327124368792429
NWP7WB.p1785	JN.10	0.4	11.055746915025248
NWP7WB.p1785	JN.1.1	0.2	11.055746915025248
NWP7WB.p1785	JN.1	0.2	11.055746915025248
NWP7WB.p1785	JN.1.2	0.2	11.055746915025248
GCSQB2.p1785	JN.8	0.2	15.2760592582684
GCSQB2.p1785	JN.1.1	0.2	15.2760592582684
GCSQB2.p1785	JN.1	0.2	15.2760592582684
GCSQB2.p1785	JN.10	0.2	15.2760592582684
GCSQB2.p1785	JN.6	0.2	15.2760592582684
SH64DR.p1785	JN.1.2	0.25	8.835233923017757
SH64DR.p1785	JN.1.1.1	0.25	8.835233923017757
SH64DR.p1785	JN.1.1	0.25	8.835233923017757
SH64DR.p1785	JN.1	0.25	8.835233923017757
DRR9QT.p1785	JN.3	0.25	13.165903086646825
DRR9QT.p1785	JN.7	0.25	13.165903086646825
DRR9QT.p1785	JN.10	0.25	13.165903086646825
DRR9QT.p1785	JN.2	0.25	13.165903086646825
LE28VJ.p1785	FW.1	0.2142855	11.035682038591446
LE28VJ.p1785	XBB.1.28.1	0.2142855	11.035682038591446
F6VBN8.p1785	JN.1	1.0	5.2269003110055845
CHBC52.p1785	XDD	0.333333	5.852255626525767
CHBC52.p1785	JN.1.1.1	0.16666675	5.852255626525767
CHBC52.p1785	JN.1.1	0.16666675	5.852255626525767
CHBC52.p1785	JN.1.2	0.16666675	5.852255626525767
CHBC52.p1785	JN.1	0.16666675	5.852255626525767
NR35CQ.p1785	JN.1.2	0.25	5.654951008260041
NR35CQ.p1785	JN.1.1.1	0.25	5.654951008260041
NR35CQ.p1785	JN.1.1	0.25	5.654951008260041
NR35CQ.p1785	JN.1	0.25	5.654951008260041
UV5YLA.p1785	JN.10	1.0	6.7384543356853825
SAGRSL.p1785	JN.1.1.1	0.25	6.370598267732334
SAGRSL.p1785	JN.1.1	0.25	6.370598267732334
SAGRSL.p1785	JN.1.2	0.25	6.370598267732334
SAGRSL.p1785	JN.1	0.25	6.370598267732334
