"WWTP","Date","copiesperL","flow_rate_value"
"69th Street",2020-11-13,16067.1840301055,80.03
"69th Street",2020-11-12,15746.4449070907,80.03
"69th Street",2020-12-01,30788.9549399982,80.03
"69th Street",2020-11-15,16798.9670412082,80.03
"69th Street",2020-11-16,17215.4376593532,80.03
"69th Street",2020-11-26,24186.5585521558,80.03
"69th Street",2020-11-14,16417.1640535736,80.03
"69th Street",2020-11-19,18705.9831165969,80.03
"69th Street",2020-12-02,32448.2753018125,80.03
"69th Street",2021-10-25,17305.176296563,80.03
"69th Street",2021-10-26,16715.0849464835,80.03
"69th Street",2020-11-27,25293.5109971441,80.03
"69th Street",2020-11-28,26503.3583108503,80.03
"69th Street",2021-11-26,10778.7589080606,80.03
"69th Street",2020-11-17,17669.7163560305,80.03
"69th Street",2020-11-18,18165.2792285115,80.03
"69th Street",2020-11-30,29247.3214278691,80.03
"69th Street",2021-10-20,20506.1735221239,80.03
"69th Street",2021-10-21,19832.9532436812,80.03
"69th Street",2021-10-22,19176.0740472061,80.03
"69th Street",2021-10-23,18535.733983574,80.03
"69th Street",2021-10-24,17912.0720721658,80.03
"69th Street",2020-11-11,15452.5941384775,80.03
"69th Street",2021-11-09,10476.2636139071,80.03
"69th Street",2021-11-10,10216.3465915372,80.03
"69th Street",2021-11-11,9985.31564864397,80.03
"69th Street",2021-11-12,9783.64099256288,80.03
"69th Street",2021-11-27,11252.8354446337,80.03
"69th Street",2020-11-29,27820.0129636398,80.03
"69th Street",2021-11-15,9360.67955015427,80.03
"69th Street",2021-11-16,9283.07283688174,80.03
"69th Street",2020-11-20,19296.1167450648,80.03
"69th Street",2020-11-21,19940.4616226252,80.03
"69th Street",2020-11-22,20644.3568751088,80.03
"69th Street",2020-11-23,21413.7810603002,80.03
"69th Street",2020-11-24,22255.4386230558,80.03
"69th Street",2020-11-25,23176.8675041374,80.03
"69th Street",2021-11-23,9798.10271749239,80.03
"69th Street",2021-11-24,10060.147030197,80.03
"69th Street",2021-11-25,10384.3997495138,80.03
"69th Street",2021-11-13,9611.85715598173,80.03
"69th Street",2021-11-14,9470.60553633266,80.03
"69th Street",2021-03-28,14731.5165509026,80.03
"69th Street",2021-03-29,14330.8472853449,80.03
"69th Street",2021-03-30,13927.0189983036,80.03
"69th Street",2021-11-28,11818.3426683557,80.03
"69th Street",2021-11-29,12489.5890266333,80.03
"69th Street",2020-12-03,34228.1816415142,80.03
"69th Street",2020-12-04,36130.9439517037,80.03
"69th Street",2020-12-05,38158.0161982017,80.03
"69th Street",2020-12-06,40309.832917929,80.03
"69th Street",2021-10-27,16141.790188259,80.03
"69th Street",2021-10-28,15585.2429995286,80.03
"69th Street",2021-03-26,15512.3893977903,80.03
"69th Street",2021-03-27,15126.3288570106,80.03
"69th Street",2020-11-03,13845.1300027036,80.03
"69th Street",2020-11-04,13988.3976007608,80.03
"69th Street",2020-11-05,14145.401472042,80.03
"69th Street",2020-11-06,14317.3927329865,80.03
"69th Street",2020-11-07,14505.7075713646,80.03
"69th Street",2020-11-08,14711.7785160003,80.03
"69th Street",2020-11-09,14937.148479589,80.03
"69th Street",2020-11-10,15183.4844156026,80.03
"69th Street",2021-11-08,10764.6183778372,80.03
"69th Street",2021-03-10,17840.0134732009,80.03
"69th Street",2021-03-11,18005.6302695915,80.03
"69th Street",2021-03-12,18131.2045725356,80.03
"69th Street",2021-03-13,18212.0925246423,80.03
"69th Street",2021-03-14,18243.9573389116,80.03
"69th Street",2021-03-15,18225.2803694041,80.03
"69th Street",2021-03-16,18158.1516161061,80.03
"69th Street",2021-11-17,9239.03150453922,80.03
"69th Street",2021-11-18,9230.1125771689,80.03
"69th Street",2021-11-19,9258.2511553306,80.03
"69th Street",2021-11-20,9325.83823654358,80.03
"69th Street",2021-11-21,9435.81283982176,80.03
"69th Street",2021-11-22,9591.77180471976,80.03
"69th Street",2021-03-23,16586.4978986871,80.03
"69th Street",2021-03-24,16245.7845000233,80.03
"69th Street",2021-03-25,15886.6214803849,80.03
"69th Street",2021-01-04,85940.4232123052,80.03
"69th Street",2021-01-05,83176.6889122187,80.03
"69th Street",2021-01-06,80153.4588299846,80.03
"69th Street",2021-01-07,76927.5069297194,80.03
"69th Street",2021-01-08,73553.2857266063,80.03
"69th Street",2021-01-09,70081.8887836615,80.03
"69th Street",2021-01-10,66560.2704657941,80.03
"69th Street",2021-01-11,63030.7083790533,80.03
"69th Street",2021-01-12,59530.481878676,80.03
"69th Street",2021-01-13,56091.7484896075,80.03
"69th Street",2021-01-14,52741.5875353434,80.03
"69th Street",2020-12-07,42585.5899504389,80.03
"69th Street",2020-12-08,44983.0116065343,80.03
"69th Street",2021-10-29,15045.3535628075,80.03
"69th Street",2021-10-30,14521.9981812506,80.03
"69th Street",2021-10-31,14015.260295977,80.03
"69th Street",2021-11-01,13526.87597305,80.03
"69th Street",2021-11-02,13059.0275482434,80.03
"69th Street",2021-11-03,12613.5318462383,80.03
"69th Street",2021-11-04,12191.8802416289,80.03
"69th Street",2021-11-05,11795.2814467714,80.03
"69th Street",2021-11-06,11424.7087661028,80.03
"69th Street",2021-11-07,11080.9431822686,80.03
"69th Street",2020-12-19,76552.5951616966,80.03
"69th Street",2020-12-20,79388.7397870228,80.03
"69th Street",2020-12-21,82090.437082336,80.03
"69th Street",2020-12-22,84619.1421096217,80.03
"69th Street",2020-12-23,86935.0259369924,80.03
"69th Street",2020-12-24,88997.7071458025,80.03
"69th Street",2020-12-25,90767.0954080888,80.03
"69th Street",2020-12-26,92204.3388382985,80.03
"69th Street",2021-03-17,18045.2427223974,80.03
"69th Street",2021-03-18,17889.5278270825,80.03
"69th Street",2021-03-19,17694.2230673718,80.03
"69th Street",2021-03-20,17462.7239210359,80.03
"69th Street",2021-03-21,17198.5466220363,80.03
"69th Street",2021-03-22,16905.2729818331,80.03
"69th Street",2021-01-01,92100.3558154932,80.03
"69th Street",2021-01-02,90458.5429310714,80.03
"69th Street",2021-01-03,88386.829970307,80.03
"69th Street",2021-10-14,24869.6577139531,80.03
"69th Street",2021-10-15,24106.1224359458,80.03
"69th Street",2021-10-16,23356.3657792754,80.03
"69th Street",2021-10-17,22620.9978272231,80.03
"69th Street",2021-10-18,21900.5498178296,80.03
"69th Street",2021-10-19,21195.4791134467,80.03
"69th Street",2020-10-19,12660.56531368,80.03
"69th Street",2020-10-20,12712.9763195052,80.03
"69th Street",2020-10-21,12766.271550179,80.03
"69th Street",2020-10-22,12820.7732136549,80.03
"69th Street",2020-10-23,12877.0469169418,80.03
"69th Street",2020-10-24,12935.8534862244,80.03
"69th Street",2020-10-25,12997.9717290563,80.03
"69th Street",2020-12-09,47498.106620242,80.03
"69th Street",2020-12-10,50124.9241019571,80.03
"69th Street",2020-12-11,52855.2970619917,80.03
"69th Street",2020-12-12,55678.615554461,80.03
"69th Street",2020-12-13,58581.5904131442,80.03
"69th Street",2020-12-14,61548.072690293,80.03
"69th Street",2020-12-15,64558.8890098146,80.03
"69th Street",2020-12-16,67591.7464573995,80.03
"69th Street",2020-12-17,70621.1894595344,80.03
"69th Street",2020-12-18,73618.6531914805,80.03
"69th Street",2021-03-08,17407.8785481838,80.03
"69th Street",2021-03-09,17639.1469386537,80.03
"69th Street",2021-07-08,28965.6072716516,80.03
"69th Street",2021-07-09,30766.4067965335,80.03
"69th Street",2021-07-10,32671.1301732537,80.03
"69th Street",2021-07-11,34679.2573071547,80.03
"69th Street",2021-07-12,36789.0597244667,80.03
"69th Street",2021-07-13,38997.4201978994,80.03
"69th Street",2021-07-14,41299.6497005065,80.03
"69th Street",2021-07-15,43689.3102238444,80.03
