read_assignment	reads_assigned	sample_ID
ambiguous	3	AS-22-0518.p1552
ambiguous	4	AS-22-0607.p1552
ambiguous	9	AS-22-0615.p1552
ambiguous	1	AS-22-0622.p1552
ambiguous	5	AS-22-0810.p1552
ambiguous	19	FH-22-17202A.p1552
ambiguous	1	FH-22-19228.p1552
ambiguous	8	FH-22-23436.p1552
ambiguous	3	HO-22-0622.p1552
ambiguous	15	HO-22-0629.p1552
ambiguous	19	HO-22-0706.p1552
ambiguous	2	HO-22-0726.p1552
H3N2	82	HO-22-0810.p1552
ambiguous	5	HO-22-0810.p1552
ambiguous	5	HS-21-23298.p1552
ambiguous	19	HS-22-17203B.p1552
ambiguous	6	HS-22-17675.p1552
ambiguous	7	HS-22-18444.p1552
ambiguous	4	HS-22-21660.p1552
ambiguous	3	HS-22-22422.p1552
ambiguous	8	HS-22-23437.p1552
ambiguous	4	IA-22-0608.p1552
ambiguous	4	IA-22-0615.p1552
ambiguous	8	IA-22-0622.p1552
H3N2	64	IA-22-0629.p1552
ambiguous	44	IA-22-0629.p1552
ambiguous	16	IA-22-0706.p1552
ambiguous	31	IA-22-0712.p1552
ambiguous	2	IA-22-0719.p1552
H3N2	2	IA-22-0726.p1552
ambiguous	1	IA-22-0726.p1552
H3N2	4	IA-22-0802.p1552
ambiguous	1	IA-22-0802.p1552
ambiguous	7	JT-21-22900.p1552
ambiguous	9	JT-21-23299.p1552
H3N2	3	JT-22-14833.p1552
H3N2	5	JT-22-15315.p1552
ambiguous	1	JT-22-15315.p1552
ambiguous	5	JT-22-19227.p1552
ambiguous	3	JT-22-21658.p1552
ambiguous	3	JT-22-22420.p1552
ambiguous	2	MC-22-0622.p1552
ambiguous	23	MC-22-0629.p1552
ambiguous	14	MC-22-0706.p1552
ambiguous	9	MC-22-0712.p1552
ambiguous	17	PT-22-0608.p1552
ambiguous	7	PT-22-0615.p1552
ambiguous	10	PT-22-0622.p1552
ambiguous	49	PT-22-0629.p1552
ambiguous	1	RB-21-22903.p1552
H3N2	5	RB-22-18445.p1552
ambiguous	11	RB-22-18445.p1552
ambiguous	16	RB-22-19914.p1552
ambiguous	5	RB-22-21661.p1552
ambiguous	4	TC-22-0615.p1552
ambiguous	3	TC-22-0622.p1552
H3N2	5	TC-22-0719.p1552
ambiguous	1	TC-22-0719.p1552
ambiguous	1	TC-22-0726.p1552
ambiguous	7	TC-22-0810.p1552
ambiguous	13	TV-22-0629.p1552
ambiguous	5	TV-22-0706.p1552
ambiguous	2	AS-22-0829.p1562
ambiguous	2	AS-22-0912.p1562
ambiguous	12	FH-22-24166.p1562
ambiguous	4	FH-22-27750.p1562
H3N2	3	FH-22-28141.p1562
ambiguous	4	FH-22-28141.p1562
H3N2	34	HS-22-28142.p1562
ambiguous	16	HS-22-28142.p1562
H3N2	32	IA-22-0829.p1562
ambiguous	4	IA-22-0829.p1562
H3N2	13	IA-22-0906.p1562
ambiguous	1	IA-22-0906.p1562
ambiguous	8	IA-22-0912.p1562
ambiguous	749	Javan18L-half.p1562
ambiguous	3	JT-22-24165.p1562
ambiguous	6	JT-22-26553.p1562
ambiguous	11	JT-22-28140.p1562
ambiguous	3	MC-22-0815.p1562
ambiguous	4	RB-22-24168.p1562
ambiguous	3	RB-22-24935.p1562
ambiguous	8	TC-22-0912.p1562
H3N2	3	22-28764.p1585
ambiguous	3	22-28764.p1585
H3N2	5	22-30169.p1585
ambiguous	2	22-30169.p1585
H3N2	14	22-30170.p1585
ambiguous	4	22-30170.p1585
ambiguous	5	22-30172.p1585
ambiguous	9	22-30708.p1585
ambiguous	14	22-30709.p1585
H3N2	43	22-31390.p1585
ambiguous	11	22-31390.p1585
H3N2	20	22-31391.p1585
ambiguous	9	22-31391.p1585
ambiguous	16	22-31393.p1585
ambiguous	13	22-31957.p1585
H3N2	4	22-31958.p1585
ambiguous	2	22-31958.p1585
H3N2	35	AS-22-1017.p1585
ambiguous	1	AS-22-1017.p1585
ambiguous	8	AS-22-1024.p1585
H3N2	78	HO-22-1010.p1585
ambiguous	13	HO-22-1010.p1585
H3N2	286	HO-22-1017.p1585
ambiguous	29	HO-22-1017.p1585
H3N2	217	HO-22-1024.p1585
ambiguous	28	HO-22-1024.p1585
H3N2	4	IA-22-0926.p1585
ambiguous	8	IA-22-0926.p1585
H3N2	13	IA-22-1003.p1585
ambiguous	17	IA-22-1003.p1585
H3N2	48	IA-22-1017.p1585
ambiguous	10	IA-22-1017.p1585
H3N2	69	IA-22-1024.p1585
ambiguous	7	IA-22-1024.p1585
ambiguous	908	Javan18L
H3N2	47	MC-22-1003.p1585
ambiguous	2	MC-22-1003.p1585
H1N1	24	MC-22-1017.p1585
H3N2	36	MC-22-1017.p1585
ambiguous	8	MC-22-1017.p1585
H3N2	99	MC-22-1024.p1585
ambiguous	10	MC-22-1024.p1585
H1N1	19	PT-22-1003.p1585
H3N2	4	PT-22-1003.p1585
ambiguous	11	PT-22-1003.p1585
H1N1	5	PT-22-1010.p1585
H3N2	2	PT-22-1010.p1585
ambiguous	3	PT-22-1010.p1585
H3N2	42	PT-22-1017.p1585
ambiguous	7	PT-22-1017.p1585
H3N2	174	PT-22-1024.p1585
ambiguous	25	PT-22-1024.p1585
H3N2	33	TC-22-0926.p1585
H1N1	5	TC-22-1003.p1585
H3N2	27	TC-22-1003.p1585
H3	1	TC-22-1010.p1585
H3N2	43	TC-22-1010.p1585
ambiguous	84	TC-22-1010.p1585
H1N1	8	TC-22-1017.p1585
H3N2	100	TC-22-1017.p1585
ambiguous	15	TC-22-1017.p1585
H1N1	4	A8NJ8R.p1600
H3N2	135	A8NJ8R.p1600
ambiguous	67	A8NJ8R.p1600
H1N1	14	ADG4ZF.p1600
H3N2	17	ADG4ZF.p1600
H1N1	77	AJ6CPN.p1600
H3N2	10	AJ6CPN.p1600
ambiguous	65	AJ6CPN.p1600
H3N2	238	AWAMUQ.p1600
ambiguous	11	AWAMUQ.p1600
H3N2	136	AX55BV.p1600
ambiguous	10	AX55BV.p1600
H3N2	18	B54FWS.p1600
ambiguous	6	B54FWS.p1600
H1N1	1	BTSAC5.p1600
H3N2	54	BTSAC5.p1600
ambiguous	5	BTSAC5.p1600
H3N2	264	CAP8Z5.p1600
H3N8	3	CAP8Z5.p1600
ambiguous	56	CAP8Z5.p1600
H3N2	13	CF46MZ.p1600
H3N2	113	CGGXXH.p1600
ambiguous	16	CGGXXH.p1600
ambiguous	1093	CMMR
H3N2	10	CW6JFA.p1600
H3N2	77	CXEG4E.p1600
ambiguous	5	CXEG4E.p1600
H1N1	81	DBZ6ZT.p1600
H3N2	77	DBZ6ZT.p1600
ambiguous	50	DBZ6ZT.p1600
H3N2	68	DRB2LL.p1600
ambiguous	2	DRB2LL.p1600
H3N2	6	DVYDSA.p1600
ambiguous	2	DVYDSA.p1600
H3N2	270	E2V6JN.p1600
ambiguous	32	E2V6JN.p1600
H1N1	24	EFLDWX.p1600
ambiguous	7	EFLDWX.p1600
H3	1	EH8NZV.p1600
H3N2	118	EH8NZV.p1600
ambiguous	29	EH8NZV.p1600
H1N1	12	FAHKAL.p1600
H3N2	7	FUKY8M.p1600
ambiguous	2	FUKY8M.p1600
H3N2	55	FXE5M5.p1600
ambiguous	27	FXE5M5.p1600
H3N2	12	FZLKV7.p1600
ambiguous	16	FZLKV7.p1600
H1N1	2	FZNR7M.p1600
H3N2	30	FZNR7M.p1600
ambiguous	2	FZNR7M.p1600
H3N2	150	H7HGKF.p1600
ambiguous	55	H7HGKF.p1600
H3N2	54	HMV9RN.p1600
ambiguous	2	HMV9RN.p1600
H1N1	32	J4NUH2.p1600
ambiguous	22	J4NUH2.p1600
H3N2	40	JQWNBJ.p1600
ambiguous	37	JQWNBJ.p1600
H3N2	284	KNE3R8.p1600
ambiguous	96	KNE3R8.p1600
H3N2	178	MEXUM8.p1600
ambiguous	15	MEXUM8.p1600
H3N2	121	MLNWLA.p1600
ambiguous	81	MLNWLA.p1600
H3N2	188	NB8DRC.p1600
ambiguous	32	NB8DRC.p1600
H3N2	11	PXEV6L.p1600
ambiguous	4	PXEV6L.p1600
H1N1	6	QQ3T2B.p1600
H3N2	22	QQ3T2B.p1600
ambiguous	3	QQ3T2B.p1600
H3N2	1	QYKEAQ.p1600
ambiguous	19	R8UD98.p1600
H3N2	122	THGNLM.p1600
ambiguous	6	THGNLM.p1600
H1N1	24	UKSTF8.p1600
H3N2	124	UKSTF8.p1600
ambiguous	41	UKSTF8.p1600
H3N2	28	UQU82Z.p1600
H1N1	29	V7C6NF.p1600
H3N2	34	V7C6NF.p1600
ambiguous	13	V7C6NF.p1600
H1N1	57	VD8K6G.p1600
H3N2	31	VD8K6G.p1600
ambiguous	61	VD8K6G.p1600
H3N2	46	WDQR3U.p1600
ambiguous	1	WDQR3U.p1600
H3N2	130	XRYJSP.p1600
ambiguous	38	XRYJSP.p1600
H1N1	37	XUYRKL.p1600
H3N2	24	XUYRKL.p1600
ambiguous	30	XUYRKL.p1600
H3N2	55	Y3A3UF.p1600
ambiguous	3	Y3A3UF.p1600
H3N2	40	ZR3LHR.p1600
ambiguous	4	ZR3LHR.p1600
H1N1	8	A5B3KB.p1616
H3N2	6	A5B3KB.p1616
ambiguous	2	A5B3KB.p1616
H1N1	29	A9595M.p1616
H1N2	1	A9595M.p1616
H3N2	10	A9595M.p1616
H6N1	1	A9595M.p1616
ambiguous	7	A9595M.p1616
H1N1	18	AF2T23.p1616
H3N2	19	AF2T23.p1616
ambiguous	8	AF2T23.p1616
H1N1	1	AGFQRZ.p1616
H3N2	14	ATA6VA.p1616
ambiguous	6	ATA6VA.p1616
H3N2	94	CE3V5U.p1616
ambiguous	11	CE3V5U.p1616
ambiguous	645	CMMR
H1N1	1	CMRC6F.p1616
H3N2	106	CMRC6F.p1616
ambiguous	25	CMRC6F.p1616
H3N2	48	CQ3ANL.p1616
ambiguous	2	CQ3ANL.p1616
H1N1	18	CS9LYQ.p1616
H3N2	68	CS9LYQ.p1616
ambiguous	34	CS9LYQ.p1616
H3N2	70	D6US9A.p1616
ambiguous	11	D6US9A.p1616
H1N1	22	DXT27B.p1616
H3N2	59	DXT27B.p1616
ambiguous	6	DXT27B.p1616
H1N1	77	EHTBBB.p1616
H3N2	16	EHTBBB.p1616
ambiguous	10	EHTBBB.p1616
H3N2	38	EKA7CV.p1616
ambiguous	1	EKA7CV.p1616
H1N1	53	FCKA8T.p1616
H3N2	39	FCKA8T.p1616
ambiguous	19	FCKA8T.p1616
H1N1	2	FJY5K2.p1616
H3N2	198	FT3BFL.p1616
ambiguous	10	FT3BFL.p1616
H1N1	25	G97HVD.p1616
H3N2	59	G97HVD.p1616
ambiguous	12	G97HVD.p1616
H3N2	29	GQ2D3Z.p1616
ambiguous	8	GQ2D3Z.p1616
H3N2	7	HYUTKY.p1616
H1N1	2	JRG2YW.p1616
H3N2	34	JRG2YW.p1616
ambiguous	3	JRG2YW.p1616
H1N1	129	JXNFZ4.p1616
H3N2	174	JXNFZ4.p1616
ambiguous	37	JXNFZ4.p1616
H3N2	98	K35Y9P.p1616
ambiguous	14	K35Y9P.p1616
H3N2	39	K5WPZD.p1616
ambiguous	6	K5WPZD.p1616
H1N1	42	L7YKQM.p1616
H3N2	13	L7YKQM.p1616
ambiguous	3	L7YKQM.p1616
H1N1	54	LG3ZYK.p1616
H3N2	141	LG3ZYK.p1616
ambiguous	97	LG3ZYK.p1616
H3N2	57	M2UMLX.p1616
ambiguous	16	M2UMLX.p1616
H1N1	42	M7MY28.p1616
H3N2	282	M7MY28.p1616
ambiguous	54	M7MY28.p1616
H1N1	16	MXU533.p1616
H3N2	34	MXU533.p1616
ambiguous	22	MXU533.p1616
H1N1	31	NDWV5Q.p1616
H3N2	50	NDWV5Q.p1616
ambiguous	15	NDWV5Q.p1616
H1N1	53	P3SKUQ.p1616
H3N2	2	P3SKUQ.p1616
ambiguous	11	P3SKUQ.p1616
H1N1	5	P8NE5K.p1616
H3N2	101	P8NE5K.p1616
ambiguous	11	P8NE5K.p1616
H1N1	1	PDPFWK.p1616
H1N1	50	PES8F5.p1616
H3N2	33	PES8F5.p1616
ambiguous	28	PES8F5.p1616
H1N1	6	PUEBTL.p1616
ambiguous	7	PUEBTL.p1616
H1N1	7	PZBAZD.p1616
H3N2	4	PZBAZD.p1616
H1N1	2	QNGH3A.p1616
H3N2	56	QNGH3A.p1616
ambiguous	16	QNGH3A.p1616
H3N2	120	R4YVGH.p1616
ambiguous	62	R4YVGH.p1616
H3N2	15	R68ZKY.p1616
ambiguous	3	R68ZKY.p1616
