,LocationAbbr,CMMR_Barcode,Target,Ct,copiesperL,copiesperml,SampleName,date_of_collection,flow_rate,replicate_#,Notes
1,MC,VY9AEV,SARSCOV2N1,,,0,MC-20-05-11,5/11/2020,7.278,1,"This sample was diluted differently than the rest, that is why the Ct values give different copiesperml"
2,MC,VY9AEV,SARSCOV2N1,,,0,MC-20-05-18,5/18/2020,11.601,1,
3,MC,VY9AEV,SARSCOV2N1,,,0,MC-20-05-25,5/25/2020,9.264,1,
4,MC,VY9AEV,SARSCOV2N1,,,0,MC-20-06-01,6/1/2020,11.189,1,
5,MC,VY9AEV,SARSCOV2N1,35.7,1785.714286,1785714.286,MC-20-06-08,6/8/2020,1.561,1,
6,MC,VY9AEV,SARSCOV2N1,34.3,6607.142857,6607142.857,MC-20-06-15,6/15/2020,1.452,1,
7,MC,VY9AEV,SARSCOV2N1,36,6166.666667,6166666.667,MC-20-06-22,6/22/2020,2.658,1,
8,MC,VY9AEV,SARSCOV2N1,36.0447,2906.821333,2906821.333,MC-20-06-29,6/29/2020,1.678,1,
9,MC,VY9AEV,SARSCOV2N1,32.8644,37822.40169,37822401.69,MC-20-06-29,6/29/2020,1.678,2,
10,MC,VY9AEV,SARSCOV2N1,36.7883,1595.407898,1595407.898,MC-20-06-29,6/29/2020,1.678,3,
11,MC,VY9AEV,SARSCOV2N1,35.10142899,77542.11426,77542114.26,MC-20-06-29,6/29/2020,1.678,1,We switched methods from PEG based to HA based capture here. These were duplcates done with the new HA method to compare to the previous 3 rows
12,MC,VY9AEV,SARSCOV2N1,34.34663773,142025.4771,142025477.1,MC-20-06-29,6/29/2020,1.678,2,
13,MC,VY9AEV,SARSCOV2N1,34.599823,115932.0958,115932095.8,MC-20-06-29,6/29/2020,1.678,3,
14,MC,VY9AEV,SARSCOV2N1,34.9,133333.3333,133333333.3,MC-20-07-06,7/6/2020,1.559,1,We switched methods from PEG based to HA based capture here
15,MC,VY9AEV,SARSCOV2N1,34.6,170666.6667,170666666.7,MC-20-07-06,7/6/2020,1.559,2,
16,MC,VY9AEV,SARSCOV2N1,34,273000,273000000,MC-20-07-06,7/6/2020,1.559,3,
17,MC,VY9AEV,SARSCOV2N1,36,59000,59000000,MC-20-07-13,7/13/2020,1.544,1,
18,MC,VY9AEV,SARSCOV2N1,34.8,142666.6667,142666666.7,MC-20-07-13,7/13/2020,1.544,2,
19,MC,VY9AEV,SARSCOV2N1,35.4,93666.66667,93666666.67,MC-20-07-13,7/13/2020,1.544,3,
20,MC,VY9AEV,SARSCOV2N1,39.9,3333.333333,3333333.333,MC-20-07-20,7/20/2020,2.13,1,
21,MC,VY9AEV,SARSCOV2N1,37,29333.33333,29333333.33,MC-20-07-20,7/20/2020,2.13,2,
22,MC,VY9AEV,SARSCOV2N1,37.7,16333.33333,16333333.33,MC-20-07-20,7/20/2020,2.13,3,
23,MC,VY9AEV,SARSCOV2N1,Undetermined,6666.666667,6666666.667,MC-20-07-27,7/27/2020,2.156,1,"I was not sent the Ct values this week, only the copiesperL"
24,MC,VY9AEV,SARSCOV2N1,,28333.33333,28333333.33,MC-20-07-27,7/27/2020,2.156,2,
25,MC,VY9AEV,SARSCOV2N1,Undetermined,6666.666667,6666666.667,MC-20-07-27,7/27/2020,2.156,3,
26,MC,VY9AEV,SARSCOV2N1,37.9,14666.66667,14666666.67,MC-20-08-03,8/3/2020,1.827,1,
27,MC,VY9AEV,SARSCOV2N1,39.3,5000,5000000,MC-20-08-03,8/3/2020,1.827,2,
28,MC,VY9AEV,SARSCOV2N1,Undetermined,6666.666667,6666666.667,MC-20-08-03,8/3/2020,1.827,3,
29,MC,VY9AEV,SARSCOV2N1,36.1,54666.66667,54666666.67,MC-20-08-10,8/10/2020,1.57,1,
30,MC,VY9AEV,SARSCOV2N1,35.9,64333.33333,64333333.33,MC-20-08-10,8/10/2020,1.57,2,
31,MC,VY9AEV,SARSCOV2N1,35.6,78333.33333,78333333.33,MC-20-08-10,8/10/2020,1.57,3,
32,MC,VY9AEV,SARSCOV2N1,,29333.33333,29333333.33,MC-20-08-17,8/17/2020,1.573,1,"I was not sent the Ct values this week, only the copiesperL"
33,MC,VY9AEV,SARSCOV2N1,,9666.666667,9666666.667,MC-20-08-17,8/17/2020,1.573,2,
34,MC,VY9AEV,SARSCOV2N1,,45333.33333,45333333.33,MC-20-08-17,8/17/2020,1.573,3,
35,MC,VY9AEV,SARSCOV2N1,Undetermined,6666.666667,6666666.667,MC-20-08-24,8/24/2020,1.569,1,
36,MC,VY9AEV,SARSCOV2N1,Undetermined,6666.666667,6666666.667,MC-20-08-24,8/24/2020,1.569,2,
37,MC,VY9AEV,SARSCOV2N1,Undetermined,6666.666667,6666666.667,MC-20-08-24,8/24/2020,1.569,3,
38,MC,VY9AEV,SARSCOV2N1,39.9,3333.333333,3333333.333,MC-20-08-31,8/31/2020,1.598,1,
39,MC,VY9AEV,SARSCOV2N1,Undetermined,6666.666667,6666666.667,MC-20-08-31,8/31/2020,1.598,2,
40,MC,VY9AEV,SARSCOV2N1,37.8,15333.33333,15333333.33,MC-20-08-31,8/31/2020,1.598,3,
41,MC,VY9AEV,SARSCOV2N1,Undetermined,6666.666667,6666666.667,MC-20-09-07,9/7/2020,1.714,1,"I was not sent the Ct values this week, only the copiesperL"
42,MC,VY9AEV,SARSCOV2N1,Undetermined,6666.666667,6666666.667,MC-20-09-07,9/7/2020,1.714,2,
43,MC,VY9AEV,SARSCOV2N1,Undetermined,6666.666667,6666666.667,MC-20-09-07,9/7/2020,1.714,3,
44,MC,VY9AEV,SARSCOV2N1,Undetermined,6666.666667,6666666.667,MC-20-09-14,9/14/2020,1.614,1,"I was not sent the Ct values this week, only the copiesperL"
45,MC,VY9AEV,SARSCOV2N1,Undetermined,6666.666667,6666666.667,MC-20-09-14,9/14/2020,1.614,2,
46,MC,VY9AEV,SARSCOV2N1,,3666.666667,3666666.667,MC-20-09-14,9/14/2020,1.614,3,
47,MC,VY9AEV,SARSCOV2N1,37.4,20666.66667,20666666.67,MC-20-09-28,9/28/2020,0.343,1,We did not receive samples for 9/21/2020
48,MC,VY9AEV,SARSCOV2N1,37.9,14000,14000000,MC-20-09-28,9/28/2020,0.343,2,
49,MC,VY9AEV,SARSCOV2N1,36.5,39666.66667,39666666.67,MC-20-09-28,9/28/2020,0.343,3,
50,MC,VY9AEV,SARSCOV2N1,Undetermined,6666.666667,6666666.667,MC-20-10-05,10/5/2020,1.379,1,
51,MC,VY9AEV,SARSCOV2N1,Undetermined,6666.666667,6666666.667,MC-20-10-05,10/5/2020,1.379,2,
52,MC,VY9AEV,SARSCOV2N1,Undetermined,6666.666667,6666666.667,MC-20-10-05,10/5/2020,1.379,3,
53,MC,VY9AEV,SARSCOV2N1,37.7,16666.66667,16666666.67,MC-20-10-12,10/12/2020,1.488,1,
54,MC,VY9AEV,SARSCOV2N1,Undetermined,6666.666667,6666666.667,MC-20-10-12,10/12/2020,1.488,2,
55,MC,VY9AEV,SARSCOV2N1,Undetermined,6666.666667,6666666.667,MC-20-10-12,10/12/2020,1.488,3,
56,MC,VY9AEV,SARSCOV2N1,Undetermined,6666.666667,6666666.667,MC-20-10-19,10/19/2020,1.588,1,
57,MC,VY9AEV,SARSCOV2N1,Undetermined,6666.666667,6666666.667,MC-20-10-19,10/19/2020,1.588,2,
58,MC,VY9AEV,SARSCOV2N1,Undetermined,6666.666667,6666666.667,MC-20-10-19,10/19/2020,1.588,3,
59,MC,VY9AEV,SARSCOV2N1,Undetermined,6666.666667,6666666.667,MC-20-10-26,10/26/2020,1.485,1,
60,MC,VY9AEV,SARSCOV2N1,Undetermined,6666.666667,6666666.667,MC-20-10-26,10/26/2020,1.485,2,
61,MC,VY9AEV,SARSCOV2N1,37.9,14000,14000000,MC-20-10-26,10/26/2020,1.485,3,
62,MC,VY9AEV,SARSCOV2N1,37.2,24666.66667,24666666.67,MC-20-11-02,11/2/2020,1.338,1,
63,MC,VY9AEV,SARSCOV2N1,Undetermined,6666.666667,6666666.667,MC-20-11-02,11/2/2020,1.338,2,
64,MC,VY9AEV,SARSCOV2N1,Undetermined,6666.666667,6666666.667,MC-20-11-02,11/2/2020,1.338,3,
65,MC,VY9AEV,SARSCOV2N1,32.4,205440,205440000,MC-20-11-09,11/9/2020,1.481,1,
66,MC,VY9AEV,SARSCOV2N1,32.5,196320,196320000,MC-20-11-09,11/9/2020,1.481,2,
67,MC,VY9AEV,SARSCOV2N1,32.5,186800,186800000,MC-20-11-09,11/9/2020,1.481,3,
68,MC,VY9AEV,SARSCOV2N1,35.5,17200,17200000,MC-20-11-09,11/16/2020,1.37,1,
69,MC,VY9AEV,SARSCOV2N1,35.4,18466.66667,18466666.67,MC-20-11-09,11/16/2020,1.37,2,
70,MC,VY9AEV,SARSCOV2N1,35.9,13000,13000000,MC-20-11-09,11/16/2020,1.37,3,
71,MC,VY9AEV,SARSCOV2N1,30.9,520466.6667,520466666.7,MC-20-11-23,11/23/2020,1.419,1,
72,MC,VY9AEV,SARSCOV2N1,30.7,632666.6667,632666666.7,MC-20-11-23,11/23/2020,1.419,2,
73,MC,VY9AEV,SARSCOV2N1,31.3,386133.3333,386133333.3,MC-20-11-23,11/23/2020,1.419,3,
74,MC,VY9AEV,SARSCOV2N1,30.7,594600,594600000,MC-20-11-30,11/30/2020,1.631,1,
75,MC,VY9AEV,SARSCOV2N1,31,508200,508200000,MC-20-11-30,11/30/2020,1.631,2,
76,MC,VY9AEV,SARSCOV2N1,30.8,574933.3333,574933333.3,MC-20-11-30,11/30/2020,1.631,3,
77,MC,VY9AEV,SARSCOV2N1,30.1,988333.3333,988333333.3,MC-20-12-07,12/7/2020,1.647,1,
78,MC,VY9AEV,SARSCOV2N1,30,1060533.333,1060533333,MC-20-12-07,12/7/2020,1.647,2,
79,MC,VY9AEV,SARSCOV2N1,32,309133.3333,309133333.3,MC-20-12-14,12/14/2020,2.068,1,
80,MC,VY9AEV,SARSCOV2N1,31.9,325266.6667,325266666.7,MC-20-12-14,12/14/2020,2.068,2,
81,MC,VY9AEV,SARSCOV2N1,31.9,257066.6667,257066666.7,MC-20-12-21,12/21/2020,1.805,1,
82,MC,VY9AEV,SARSCOV2N1,31.5,335600,335600000,MC-20-12-21,12/21/2020,1.805,2,
83,MC,VY9AEV,SARSCOV2N1,29,2148400,2148400000,MC-20-12-28,12/28/2020,1.628,1,
84,MC,VY9AEV,SARSCOV2N1,29.2,1878333.333,1878333333,MC-20-12-28,12/28/2020,1.628,2,
85,MC,VY9AEV,SARSCOV2N1,30.2,872133.3333,872133333.3,MC-21-01-04,1/4/2021,1.766,1,
86,MC,VY9AEV,SARSCOV2N1,30.2,855666.6667,855666666.7,MC-21-01-04,1/4/2021,1.766,2,
87,MC,VY9AEV,SARSCOV2N1,31.5,349133.3333,349133333.3,MC-21-01-11,1/11/2021,2.101,1,
88,MC,VY9AEV,SARSCOV2N1,31.7,295400,295400000,MC-21-01-11,1/11/2021,2.101,2,
