,LocationAbbr,CMMR_Barcode,Target,Ct,copiesperL,copiesperml,SampleName,date_of_collection,flow_rate,replicate_#,Notes
12,PT,GRMCF13,SARSCOV2N1,37.7,303.5714286,303571.4286,PT-20-06-08,6/8/2020,0.573,1,
14,PT,GRMCF15,SARSCOV2N1,33.7,11928.57143,11928571.43,PT-20-06-15,6/15/2020,0.604,1,
16,PT,GRMCF17,SARSCOV2N1,36.5,4166.666667,4166666.667,PT-20-06-22,6/22/2020,0.645,1,
18,PT,GRMCF19,SARSCOV2N1,34.76938248,10119.5399,10119539.9,PT-20-06-29,6/29/2020,0.576,1,
19,PT,GRMCF20,SARSCOV2N1,37.46598053,1164.577723,1164577.723,PT-20-06-29,6/29/2020,0.576,2,
20,PT,GRMCF21,SARSCOV2N1,35.42276001,5993.021011,5993021.011,PT-20-06-29,6/29/2020,0.576,3,
,PT,GRMCF19,SARSCOV2N1,36.72029114,16855.6881,16855688.1,PT-20-06-29,6/29/2020,0.576,1,We switched methods from PEG based to HA based capture here. These were duplcates done with the new HA method to compare to the previous 3 rows
,PT,GRMCF20,SARSCOV2N1,35.50963593,44763.8607,44763860.7,PT-20-06-29,6/29/2020,0.576,2,
,PT,GRMCF21,SARSCOV2N1,36.41093826,21633.92862,21633928.62,PT-20-06-29,6/29/2020,0.576,3,
21,PT,GRMCF22,SARSCOV2N1,35,125333.3333,125333333.3,PT-20-07-06,7/6/2020,0.573,1,
22,PT,GRMCF23,SARSCOV2N1,36.5,41333.33333,41333333.33,PT-20-07-06,7/6/2020,0.573,2,
23,PT,GRMCF24,SARSCOV2N1,36.1,57333.33333,57333333.33,PT-20-07-06,7/6/2020,0.573,3,
24,PT,GRMCF25,SARSCOV2N1,36.4,44666.66667,44666666.67,PT-20-07-13,7/13/2020,0.606,1,
25,PT,GRMCF26,SARSCOV2N1,36,61666.66667,61666666.67,PT-20-07-13,7/13/2020,0.606,2,
26,PT,GRMCF27,SARSCOV2N1,36.1,55333.33333,55333333.33,PT-20-07-13,7/13/2020,0.606,3,
27,PT,GRMCF28,SARSCOV2N1,35.7,73666.66667,73666666.67,PT-20-07-20,7/20/2020,0.631,1,
28,PT,GRMCF29,SARSCOV2N1,35.6,79666.66667,79666666.67,PT-20-07-20,7/20/2020,0.631,2,
29,PT,GRMCF30,SARSCOV2N1,35.6,78666.66667,78666666.67,PT-20-07-20,7/20/2020,0.631,3,
30,PT,GRMCF31,SARSCOV2N1,,125666.6667,125666666.7,PT-20-07-27,7/27/2020,0.559,1,"I was not sent the Ct values this week, only the copiesperL"
31,PT,GRMCF32,SARSCOV2N1,,211333.3333,211333333.3,PT-20-07-27,7/27/2020,0.559,2,
32,PT,GRMCF33,SARSCOV2N1,,74666.66667,74666666.67,PT-20-07-27,7/27/2020,0.559,3,
33,PT,GRMCF34,SARSCOV2N1,34.6,174666.6667,174666666.7,PT-20-08-03,8/3/2020,0.568,1,
34,PT,GRMCF35,SARSCOV2N1,34.7,152000,152000000,PT-20-08-03,8/3/2020,0.568,2,
35,PT,GRMCF36,SARSCOV2N1,34.6,170666.6667,170666666.7,PT-20-08-03,8/3/2020,0.568,3,
36,PT,GRMCF37,SARSCOV2N1,38.1,12666.66667,12666666.67,PT-20-08-10,8/10/2020,0.586,1,
37,PT,GRMCF38,SARSCOV2N1,37.6,18333.33333,18333333.33,PT-20-08-10,8/10/2020,0.586,2,
38,PT,GRMCF39,SARSCOV2N1,36.8,33000,33000000,PT-20-08-10,8/10/2020,0.586,3,
39,PT,GRMCF40,SARSCOV2N1,,41666.66667,41666666.67,PT-20-08-17,8/17/2020,0.529,1,"I was not sent the Ct values this week, only the copiesperL"
40,PT,GRMCF41,SARSCOV2N1,,23333.33333,23333333.33,PT-20-08-17,8/17/2020,0.529,2,
41,PT,GRMCF42,SARSCOV2N1,,95666.66667,95666666.67,PT-20-08-17,8/17/2020,0.529,3,
42,PT,GRMCF43,SARSCOV2N1,34.8,150666.6667,150666666.7,PT-20-08-24,8/24/2020,0.57,1,
43,PT,GRMCF44,SARSCOV2N1,34.7,156333.3333,156333333.3,PT-20-08-24,8/24/2020,0.57,2,
44,PT,GRMCF45,SARSCOV2N1,35.3,145666.6667,145666666.7,PT-20-08-24,8/24/2020,0.57,3,
45,PT,GRMCF46,SARSCOV2N1,36.4,45666.66667,45666666.67,PT-20-08-31,8/31/2020,0.575,1,
46,PT,GRMCF47,SARSCOV2N1,36.2,51666.66667,51666666.67,PT-20-08-31,8/31/2020,0.575,2,
47,PT,GRMCF48,SARSCOV2N1,34.6,168666.6667,168666666.7,PT-20-08-31,8/31/2020,0.575,3,
48,PT,GRMCF49,SARSCOV2N1,,,0,PT-20-09-07,9/7/2020,0.586,1,Park Ten was not sampled this week
51,PT,GRMCF52,SARSCOV2N1,,11666.66667,11666666.67,PT-20-09-14,9/14/2020,0.605,1,"I was not sent the Ct values this week, only the copiesperL"
52,PT,GRMCF53,SARSCOV2N1,,11333.33333,11333333.33,PT-20-09-14,9/14/2020,0.605,2,
