,LocationAbbr,CMMR_Barcode,Target,Ct,copiesperL,copiesperml,SampleName,date_of_collection,flow_rate,replicate_#,Notes
1,TC,CTAT87,SARSCOV2N1,37.30601883,6630.584626,6630584.626,AS-20-05-11,5/11/2020,5.09,1,"This sample was diluted differently than the rest, that is why the Ct values give different copiesperml"
2,TC,CTAT87,SARSCOV2N1,Undetermined,14.28571429,14285.71429,AS-20-05-11,5/11/2020,5.09,2,
3,TC,CTAT87,SARSCOV2N1,36.8189888,11996.4913,11996491.3,AS-20-05-18,5/18/2020,1.432,1,
4,TC,CTAT87,SARSCOV2N1,39.1109848,278.1154002,278115.4002,AS-20-05-18,5/18/2020,1.432,2,
5,TC,CTAT87,SARSCOV2N1,39.04748917,294.0375464,294037.5464,AS-20-05-18,5/18/2020,1.432,3,
6,TC,CTAT87,SARSCOV2N1,Undetermined,357.1428571,357142.8571,AS-20-05-25,5/25/2020,7.074,1,
7,TC,CTAT87,SARSCOV2N1,Undetermined,357.1428571,357142.8571,AS-20-05-25,5/25/2020,7.074,2,
8,TC,CTAT87,SARSCOV2N1,Undetermined,357.1428571,357142.8571,AS-20-05-25,5/25/2020,7.074,3,
9,TC,CTAT87,SARSCOV2N1,Undetermined,357.1428571,357142.8571,AS-20-06-01,6/1/2020,6.164,1,
10,TC,CTAT87,SARSCOV2N1,Undetermined,357.1428571,357142.8571,AS-20-06-01,6/1/2020,6.164,2,
11,TC,CTAT87,SARSCOV2N1,Undetermined,357.1428571,357142.8571,AS-20-06-01,6/1/2020,6.164,3,
12,TC,CTAT87,SARSCOV2N1,38.1,875,875000,AS-20-06-08,6/8/2020,6.179,1,
13,TC,CTAT87,SARSCOV2N1,39,446.4285714,446428.5714,AS-20-06-08,6/8/2020,6.179,2,
14,TC,CTAT87,SARSCOV2N1,Undetermined,714.2857143,714285.7143,AS-20-06-15,6/15/2020,6.033,1,
15,TC,CTAT87,SARSCOV2N1,392.8571429,392.8571429,392857.1429,AS-20-06-15,6/15/2020,6.033,2,
16,TC,CTAT87,SARSCOV2N1,37.9,1500,1500000,AS-20-06-22,6/22/2020,6.56,1,
17,TC,CTAT87,SARSCOV2N1,38.4,966.6666667,966666.6667,AS-20-06-22,6/22/2020,6.56,2,
18,TC,CTAT87,SARSCOV2N1,Undetermined,666.6666667,666666.6667,AS-20-06-29,6/29/2020,6.378,1,
19,TC,CTAT87,SARSCOV2N1,Undetermined,666.6666667,666666.6667,AS-20-06-29,6/29/2020,6.378,2,
20,TC,CTAT87,SARSCOV2N1,39.1830368,293.9449747,293944.9747,AS-20-06-29,6/29/2020,6.378,3,
21,TC,CTAT87,SARSCOV2N1,Undetermined,6666.666667,6666666.667,AS-20-07-06,7/6/2020,6.147,1,We switched methods from PEG based to HA based capture here
