,LocationAbbr,CMMR_Barcode,Target,Ct,copiesperL,copiesperml,SampleName,date_of_collection,flow_rate,replicate_#,Notes
1,HS,PAK9WY,SARSCOV2N1,,,0,HS-20-05-11,5/11/2020,,1,"This sample was diluted differently than the rest, that is why the Ct values give different copiesperml"
2,HS,PAK9WY,SARSCOV2N1,,,0,HS-20-05-11,5/11/2020,,2,
3,HS,PAK9WY,SARSCOV2N1,,,0,HS-20-05-18,5/18/2020,,1,
4,HS,PAK9WY,SARSCOV2N1,,,0,HS-20-05-25,5/25/2020,,1,
5,HS,PAK9WY,SARSCOV2N1,,,0,HS-20-06-01,6/1/2020,,1,
6,HS,PAK9WY,SARSCOV2N1,35,3321.428571,3.321428571,HS-20-06-08,6/8/2020,0.847,1,First sample for Homestead was taken here
7,HS,PAK9WY,SARSCOV2N1,35.4,2375,2.375,HS-20-06-15,6/15/2020,0.806,1,
8,HS,PAK9WY,SARSCOV2N1,36.9,2966.666667,2.966666667,HS-20-06-22,6/22/2020,5.6,1,
9,HS,PAK9WY,SARSCOV2N1,35.1992,5750.01814,5.75001814,HS-20-06-29,6/29/2020,1.08,1,
10,HS,PAK9WY,SARSCOV2N1,Undetermined,666.6666667,0.666666667,HS-20-06-29,6/29/2020,1.08,2,
11,HS,PAK9WY,SARSCOV2N1,33.8635,16891.92038,16.89192038,HS-20-06-29,6/29/2020,1.08,3,
12,HS,PAK9WY,SARSCOV2N1,36.6,37333.33333,37.33333333,HS-20-07-06,7/6/2020,0.879,1,We switched methods from PEG based to HA based capture here
13,HS,PAK9WY,SARSCOV2N1,36.2,52666.66667,52.66666667,HS-20-07-06,7/6/2020,0.879,2,
14,HS,PAK9WY,SARSCOV2N1,35,130000,130,HS-20-07-06,7/6/2020,0.879,3,
15,HS,PAK9WY,SARSCOV2N1,34.6,170000,170,HS-20-07-13,7/13/2020,0.803,1,
16,HS,PAK9WY,SARSCOV2N1,34.4,200666.6667,200.6666667,HS-20-07-13,7/13/2020,0.803,2,
17,HS,PAK9WY,SARSCOV2N1,34.8,141333.3333,141.3333333,HS-20-07-13,7/13/2020,0.803,3,
18,HS,PAK9WY,SARSCOV2N1,34.3,203666.6667,203.6666667,HS-20-07-20,7/20/2020,0.93,1,
19,HS,PAK9WY,SARSCOV2N1,35.9,64666.66667,64.66666667,HS-20-07-20,7/20/2020,0.93,2,
20,HS,PAK9WY,SARSCOV2N1,37.3,23000,23,HS-20-07-20,7/20/2020,0.93,3,
21,HS,PAK9WY,SARSCOV2N1,,100666.6667,100.6666667,HS-20-07-27,7/27/2020,4.204,1,"I was not sent the Ct values this week, only the copiesperL"
22,HS,PAK9WY,SARSCOV2N1,,182000,182,HS-20-07-27,7/27/2020,4.204,2,
23,HS,PAK9WY,SARSCOV2N1,,108333.3333,108.3333333,HS-20-07-27,7/27/2020,4.204,3,
24,HS,PAK9WY,SARSCOV2N1,38,13000,13,HS-20-08-03,8/3/2020,1.383,1,
25,HS,PAK9WY,SARSCOV2N1,Undetermined,6666.666667,6.666666667,HS-20-08-03,8/3/2020,1.383,2,
26,HS,PAK9WY,SARSCOV2N1,Undetermined,6666.666667,6.666666667,HS-20-08-03,8/3/2020,1.383,3,
27,HS,PAK9WY,SARSCOV2N1,37.7,16333.33333,16.33333333,HS-20-08-10,8/10/2020,0.93,1,
28,HS,PAK9WY,SARSCOV2N1,35,126000,126,HS-20-08-10,8/10/2020,0.93,2,
29,HS,PAK9WY,SARSCOV2N1,35.4,96666.66667,96.66666667,HS-20-08-10,8/10/2020,0.93,3,
30,HS,PAK9WY,SARSCOV2N1,,55000,55,HS-20-08-17,8/17/2020,1.62,1,"I was not sent the Ct values this week, only the copiesperL"
31,HS,PAK9WY,SARSCOV2N1,,55000,55,HS-20-08-17,8/17/2020,1.62,2,
32,HS,PAK9WY,SARSCOV2N1,,63333.33333,63.33333333,HS-20-08-17,8/17/2020,1.62,3,
33,HS,PAK9WY,SARSCOV2N1,35.4,90333.33333,90.33333333,HS-20-08-24,8/24/2020,0.834,1,
34,HS,PAK9WY,SARSCOV2N1,36.6,38666.66667,38.66666667,HS-20-08-24,8/24/2020,0.834,2,
35,HS,PAK9WY,SARSCOV2N1,36.8,34000,34,HS-20-08-24,8/24/2020,0.834,3,
36,HS,PAK9WY,SARSCOV2N1,38.4,10000,10,HS-20-08-31,8/31/2020,0.825,1,
37,HS,PAK9WY,SARSCOV2N1,36.4,43000,43,HS-20-08-31,8/31/2020,0.825,2,
38,HS,PAK9WY,SARSCOV2N1,37.5,20000,20,HS-20-08-31,8/31/2020,0.825,3,
39,HS,PAK9WY,SARSCOV2N1,,16666.66667,16.66666667,HS-20-09-07,9/7/2020,1.068,1,"I was not sent the Ct values this week, only the copiesperL"
40,HS,PAK9WY,SARSCOV2N1,,14666.66667,14.66666667,HS-20-09-07,9/7/2020,1.068,2,
41,HS,PAK9WY,SARSCOV2N1,,11666.66667,11.66666667,HS-20-09-07,9/7/2020,1.068,3,
42,HS,PAK9WY,SARSCOV2N1,,6666.666667,6.666666667,HS-20-09-14,9/14/2020,0.764,1,"I was not sent the Ct values this week, only the copiesperL"
43,HS,PAK9WY,SARSCOV2N1,,6666.666667,6.666666667,HS-20-09-14,9/14/2020,0.764,2,
44,HS,PAK9WY,SARSCOV2N1,,6666.666667,6.666666667,HS-20-09-14,9/14/2020,0.764,3,
45,HS,PAK9WY,SARSCOV2N1,39.1,6000,6,HS-20-09-28,9/28/2020,1.284,1,We did not receive samples for 9/21/2020
46,HS,PAK9WY,SARSCOV2N1,38.7,8000,8,HS-20-09-28,9/28/2020,1.284,2,
47,HS,PAK9WY,SARSCOV2N1,37.7,16333.33333,16.33333333,HS-20-09-28,9/28/2020,1.284,3,
48,HS,PAK9WY,SARSCOV2N1,Undetermined,6666.666667,6.666666667,HS-20-10-05,10/5/2020,0.896,1,
49,HS,PAK9WY,SARSCOV2N1,Undetermined,6666.666667,6.666666667,HS-20-10-05,10/5/2020,0.896,2,
50,HS,PAK9WY,SARSCOV2N1,Undetermined,6666.666667,6.666666667,HS-20-10-05,10/5/2020,0.896,3,
51,HS,PAK9WY,SARSCOV2N1,Undetermined,6666.666667,6.666666667,HS-20-10-12,10/12/2020,0.905,1,
52,HS,PAK9WY,SARSCOV2N1,Undetermined,6666.666667,6.666666667,HS-20-10-12,10/12/2020,0.905,2,
53,HS,PAK9WY,SARSCOV2N1,38.2,11666.66667,11.66666667,HS-20-10-12,10/12/2020,0.905,3,
54,HS,PAK9WY,SARSCOV2N1,36.8,32666.66667,32.66666667,HS-20-10-19,10/19/2020,0.98,1,
55,HS,PAK9WY,SARSCOV2N1,37.3,22666.66667,22.66666667,HS-20-10-19,10/19/2020,0.98,2,
56,HS,PAK9WY,SARSCOV2N1,38,14000,14,HS-20-10-19,10/19/2020,0.98,3,
57,HS,PAK9WY,SARSCOV2N1,Undetermined,6666.666667,6.666666667,HS-20-10-26,10/26/2020,0.818,1,
58,HS,PAK9WY,SARSCOV2N1,Undetermined,6666.666667,6.666666667,HS-20-10-26,10/26/2020,0.818,2,
59,HS,PAK9WY,SARSCOV2N1,37.1,26666.66667,26.66666667,HS-20-10-26,10/26/2020,0.818,3,
60,HS,PAK9WY,SARSCOV2N1,36,61666.66667,61.66666667,HS-20-11-02,11/2/2020,0.705,1,
61,HS,PAK9WY,SARSCOV2N1,35,130333.3333,130.3333333,HS-20-11-02,11/2/2020,0.705,2,
62,HS,PAK9WY,SARSCOV2N1,36.2,50333.33333,50.33333333,HS-20-11-02,11/2/2020,0.705,3,
63,HS,PAK9WY,SARSCOV2N1,34.1,60720,60.72,HS-20-11-09,11/9/2020,0.794,1,
64,HS,PAK9WY,SARSCOV2N1,34.6,41200,41.2,HS-20-11-09,11/9/2020,0.794,2,
65,HS,PAK9WY,SARSCOV2N1,34.7,37280,37.28,HS-20-11-09,11/9/2020,0.794,3,
66,HS,PAK9WY,SARSCOV2N1,33.1,104466.6667,104.4666667,HS-20-11-09,11/16/2020,0.646,1,
67,HS,PAK9WY,SARSCOV2N1,32.5,166266.6667,166.2666667,HS-20-11-09,11/16/2020,0.646,2,
68,HS,PAK9WY,SARSCOV2N1,33,111666.6667,111.6666667,HS-20-11-09,11/16/2020,0.646,3,
69,HS,PAK9WY,SARSCOV2N1,32.7,137800,137.8,HS-20-11-23,11/23/2020,0.666,1,
70,HS,PAK9WY,SARSCOV2N1,33.5,76666.66667,76.66666667,HS-20-11-23,11/23/2020,0.666,2,
71,HS,PAK9WY,SARSCOV2N1,32.9,117333.3333,117.3333333,HS-20-11-23,11/23/2020,0.666,3,
72,HS,PAK9WY,SARSCOV2N1,32.7,134600,134.6,HS-20-11-30,11/30/2020,1.478,1,
73,HS,PAK9WY,SARSCOV2N1,32.8,129000,129,HS-20-11-30,11/30/2020,1.478,2,
74,HS,PAK9WY,SARSCOV2N1,32.9,119600,119.6,HS-20-11-30,11/30/2020,1.478,3,
75,HS,PAK9WY,SARSCOV2N1,32.4,178666.6667,178.6666667,HS-20-12-07,12/7/2020,1.22,1,
76,HS,PAK9WY,SARSCOV2N1,32.1,209200,209.2,HS-20-12-07,12/7/2020,1.22,2,
77,HS,PAK9WY,SARSCOV2N1,33.9,80133.33333,80.13333333,HS-20-12-14,12/14/2020,1.562,1,
78,HS,PAK9WY,SARSCOV2N1,33.6,96733.33333,96.73333333,HS-20-12-14,12/14/2020,1.562,2,
79,HS,PAK9WY,SARSCOV2N1,33.3,88533.33333,88.53333333,HS-20-12-21,12/21/2020,2.864,1,
80,HS,PAK9WY,SARSCOV2N1,33.2,92200,92.2,HS-20-12-21,12/21/2020,2.864,2,
81,HS,PAK9WY,SARSCOV2N1,31.2,410400,410.4,HS-20-12-28,12/28/2020,1.359,1,
82,HS,PAK9WY,SARSCOV2N1,31,474400,474.4,HS-20-12-28,12/28/2020,1.359,2,
83,HS,PAK9WY,SARSCOV2N1,30.3,842066.6667,842.0666667,HS-21-01-04,1/4/2021,1.738,1,
84,HS,PAK9WY,SARSCOV2N1,30.1,941600,941.6,HS-21-01-04,1/4/2021,1.738,2,
85,HS,PAK9WY,SARSCOV2N1,33,112933.3333,112.9333333,HS-21-01-11,1/11/2021,5.192,1,
86,HS,PAK9WY,SARSCOV2N1,33.2,99266.66667,99.26666667,HS-21-01-11,1/11/2021,5.192,2,
87,HS,PAK9WY,SARSCOV2N1,32.1,220066.6667,220.0666667,HS-21-01-25,1/25/2021,0.898,1,"We skipped two weeks in January. Additionally, the city stopped forwarding the flowrates, so we used the median flow rate from 2020 (10.149)"
88,HS,PAK9WY,SARSCOV2N1,32.5,156000,156,HS-21-01-25,1/25/2021,0.898,2,
89,HS,PAK9WY,SARSCOV2N1,32.2,200666.6667,200.6666667,HS-21-02-01,2/1/2021,0.898,1,
90,HS,PAK9WY,SARSCOV2N1,31.8,260866.6667,260.8666667,HS-21-02-01,2/1/2021,0.898,2,
91,HS,PAK9WY,SARSCOV2N1,33.1,101866.6667,101.8666667,HS-21-02-08,2/8/2021,0.898,1,
92,HS,PAK9WY,SARSCOV2N1,33.6,72400,72.4,HS-21-02-08,2/8/2021,0.898,2,
93,HS,PAK9WY,SARSCOV2N1,33.9,58733.33333,58.73333333,HS-21-02-22,2/22/2021,0.898,1,We skipped a week here
94,HS,PAK9WY,SARSCOV2N1,33.2,93133.33333,93.13333333,HS-21-02-22,2/22/2021,0.898,2,
95,HS,PAK9WY,SARSCOV2N1,33.4,80533.33333,80.53333333,HS-21-03-01,3/1/2021,0.898,1,
96,HS,PAK9WY,SARSCOV2N1,33.8,60733.33333,60.73333333,HS-21-03-01,3/1/2021,0.898,2,
97,HS,PAK9WY,SARSCOV2N1,33.4,85200,85.2,HS-21-03-08,3/8/2021,0.898,1,
98,HS,PAK9WY,SARSCOV2N1,33.7,67866.66667,67.86666667,HS-21-03-08,3/8/2021,0.898,2,
99,HS,PAK9WY,SARSCOV2N1,32.7,137733.3333,137.7333333,HS-21-03-15,3/15/2021,0.898,1,
100,HS,PAK9WY,SARSCOV2N1,32.4,174200,174.2,HS-21-03-15,3/15/2021,0.898,2,
101,HS,PAK9WY,SARSCOV2N1,32,234933.3333,234.9333333,HS-21-03-22,3/22/2021,0.898,1,
