,LocationAbbr,CMMR_Barcode,Target,Ct,copiesperL,copiesperml,SampleName,date_of_collection,flow_rate,replicate_#,Notes
1,IA,C2X842,SARSCOV2N1,,,0,AS-20-05-11,5/11/2020,,1,We did not test this region this week
2,IA,C2X842,SARSCOV2N1,,,0,AS-20-05-18,5/18/2020,,1,We did not test this region this week
3,IA,C2X842,SARSCOV2N1,,,0,AS-20-05-25,5/25/2020,,1,We did not test this region this week
4,IA,C2X842,SARSCOV2N1,,,0,AS-20-06-01,6/1/2020,,1,We did not test this region this week
5,IA,C2X842,SARSCOV2N1,Undetermined,357.1428571,0.357142857,AS-20-06-08,6/8/2020,1.94,1,
6,IA,C2X842,SARSCOV2N1,35,3321.428571,3.321428571,AS-20-06-15,6/15/2020,1.883,1,
7,IA,C2X842,SARSCOV2N1,38.8,733.3333333,0.733333333,AS-20-06-22,6/22/2020,2.203,1,
8,IA,C2X842,SARSCOV2N1,36.4718,2059.532854,2.059532854,AS-20-06-29,6/29/2020,1.933,1,
9,IA,C2X842,SARSCOV2N1,35.4855,4564.086513,4.564086513,AS-20-06-29,6/29/2020,1.933,2,
10,IA,C2X842,SARSCOV2N1,38.5732,377.9799771,0.377979977,AS-20-06-29,6/29/2020,1.933,3,
11,IA,C2X842,SARSCOV2N1,38,13333.33333,13.33333333,AS-20-07-06,7/6/2020,1.936,1,We switched methods from PEG based to HA based capture here
12,IA,C2X842,SARSCOV2N1,37.9,14666.66667,14.66666667,AS-20-07-06,7/6/2020,1.936,2,
13,IA,C2X842,SARSCOV2N1,38.9,7000,7,AS-20-07-06,7/6/2020,1.936,3,
14,IA,C2X842,SARSCOV2N1,35.5,86000,86,AS-20-07-13,7/13/2020,1.893,1,
15,IA,C2X842,SARSCOV2N1,34.9,137333.3333,137.3333333,AS-20-07-13,7/13/2020,1.893,2,
16,IA,C2X842,SARSCOV2N1,34.9,131666.6667,131.6666667,AS-20-07-13,7/13/2020,1.893,3,
17,IA,C2X842,SARSCOV2N1,38,14000,14,AS-20-07-20,7/20/2020,2.009,1,
18,IA,C2X842,SARSCOV2N1,37.2,24000,24,AS-20-07-20,7/20/2020,2.009,2,
19,IA,C2X842,SARSCOV2N1,39,6333.333333,6.333333333,AS-20-07-20,7/20/2020,2.009,3,
20,IA,C2X842,SARSCOV2N1,,9333.333333,9.333333333,AS-20-07-27,7/27/2020,1.922,1,"I was not sent the Ct values this week, only the copiesperL"
21,IA,C2X842,SARSCOV2N1,,26333.33333,26.33333333,AS-20-07-27,7/27/2020,1.922,2,
22,IA,C2X842,SARSCOV2N1,,12666.66667,12.66666667,AS-20-07-27,7/27/2020,1.922,3,
23,IA,C2X842,SARSCOV2N1,Undetermined,6666.666667,6.666666667,AS-20-08-03,8/3/2020,1.864,1,
24,IA,C2X842,SARSCOV2N1,38.1,12666.66667,12.66666667,AS-20-08-03,8/3/2020,1.864,2,
25,IA,C2X842,SARSCOV2N1,37.2,23666.66667,23.66666667,AS-20-08-03,8/3/2020,1.864,3,
26,IA,C2X842,SARSCOV2N1,37.1,26666.66667,26.66666667,AS-20-08-10,8/10/2020,1.925,1,
27,IA,C2X842,SARSCOV2N1,35.9,63000,63,AS-20-08-10,8/10/2020,1.925,2,
28,IA,C2X842,SARSCOV2N1,35.3,103000,103,AS-20-08-10,8/10/2020,1.925,3,
29,IA,C2X842,SARSCOV2N1,,82666.66667,82.66666667,AS-20-08-17,8/17/2020,1.707,1,"I was not sent the Ct values this week, only the copiesperL"
30,IA,C2X842,SARSCOV2N1,Undetermined,6666.666667,6.666666667,AS-20-08-17,8/17/2020,1.707,2,
31,IA,C2X842,SARSCOV2N1,,43000,43,AS-20-08-17,8/17/2020,1.707,3,
32,IA,C2X842,SARSCOV2N1,Undetermined,6666.666667,6.666666667,AS-20-08-24,8/24/2020,1.519,1,
33,IA,C2X842,SARSCOV2N1,Undetermined,6666.666667,6.666666667,AS-20-08-24,8/24/2020,1.519,2,
34,IA,C2X842,SARSCOV2N1,Undetermined,6666.666667,6.666666667,AS-20-08-24,8/24/2020,1.519,3,
35,IA,C2X842,SARSCOV2N1,Undetermined,6666.666667,6.666666667,AS-20-08-31,8/31/2020,1.578,1,
36,IA,C2X842,SARSCOV2N1,Undetermined,6666.666667,6.666666667,AS-20-08-31,8/31/2020,1.578,2,
37,IA,C2X842,SARSCOV2N1,38.5,9000,9,AS-20-08-31,8/31/2020,1.578,3,
38,IA,C2X842,SARSCOV2N1,,28666.66667,28.66666667,AS-20-09-07,9/7/2020,,1,"I was not sent the Ct values this week, only the copiesperL. The flowrate was undetermined because of a bad SCADA reading"
39,IA,C2X842,SARSCOV2N1,Undetermined,6666.666667,6.666666667,AS-20-09-07,9/7/2020,,2,
40,IA,C2X842,SARSCOV2N1,,22000,22,AS-20-09-07,9/7/2020,,3,
41,IA,C2X842,SARSCOV2N1,Undetermined,6666.666667,6.666666667,AS-20-09-14,9/14/2020,1.684,1,"I was not sent the Ct values this week, only the copiesperL"
42,IA,C2X842,SARSCOV2N1,Undetermined,6666.666667,6.666666667,AS-20-09-14,9/14/2020,1.684,2,
43,IA,C2X842,SARSCOV2N1,Undetermined,6666.666667,6.666666667,AS-20-09-14,9/14/2020,1.684,3,
44,IA,C2X842,SARSCOV2N1,Undetermined,6666.666667,6.666666667,AS-20-09-28,9/28/2020,1.536,1,We did not receive samples for 9/21/2020
45,IA,C2X842,SARSCOV2N1,Undetermined,6666.666667,6.666666667,AS-20-09-28,9/28/2020,1.536,2,
46,IA,C2X842,SARSCOV2N1,Undetermined,6666.666667,6.666666667,AS-20-09-28,9/28/2020,1.536,3,
47,IA,C2X842,SARSCOV2N1,36.1,55666.66667,55.66666667,AS-20-10-05,10/5/2020,1.408,1,
48,IA,C2X842,SARSCOV2N1,Undetermined,6666.666667,6.666666667,AS-20-10-05,10/5/2020,1.408,2,
49,IA,C2X842,SARSCOV2N1,36.9,31000,31,AS-20-10-05,10/5/2020,1.408,3,
50,IA,C2X842,SARSCOV2N1,Undetermined,6666.666667,6.666666667,AS-20-10-12,10/12/2020,1.461,1,
51,IA,C2X842,SARSCOV2N1,Undetermined,6666.666667,6.666666667,AS-20-10-12,10/12/2020,1.461,2,
52,IA,C2X842,SARSCOV2N1,37.6,18000,18,AS-20-10-12,10/12/2020,1.461,3,
53,IA,C2X842,SARSCOV2N1,,,0,AS-20-10-19,10/19/2020,,1,We did not sample IAI on 10/19/20
54,IA,C2X842,SARSCOV2N1,37.9,14333.33333,14.33333333,AS-20-10-26,10/26/2020,1.349,1,
55,IA,C2X842,SARSCOV2N1,36.6,38333.33333,38.33333333,AS-20-10-26,10/26/2020,1.349,2,
56,IA,C2X842,SARSCOV2N1,37.3,23333.33333,23.33333333,AS-20-10-26,10/26/2020,1.349,3,
57,IA,C2X842,SARSCOV2N1,38.9,7000,7,AS-20-11-02,11/2/2020,1.224,1,
58,IA,C2X842,SARSCOV2N1,36.1,56333.33333,56.33333333,AS-20-11-02,11/2/2020,1.224,2,
59,IA,C2X842,SARSCOV2N1,38.9,6666.666667,6.666666667,AS-20-11-02,11/2/2020,1.224,3,
60,IA,C2X842,SARSCOV2N1,32.2,239440,239.44,AS-20-11-09,11/9/2020,1.23,1,We switched to a bead-beating method for extraction here
61,IA,C2X842,SARSCOV2N1,31.9,307200,307.2,AS-20-11-09,11/9/2020,1.23,2,
62,IA,C2X842,SARSCOV2N1,32,284560,284.56,AS-20-11-09,11/9/2020,1.23,3,
