,LocationAbbr,CMMR_Barcode,Target,Ct,copiesperL,copiesperml,SampleName,date_of_collection,flow_rate,replicate_#,Notes
1,TC,CTAT87,SARSCOV2N1,37.30601883,6630.584626,6.630584626,AS-20-05-11,5/11/2020,5.09,1,"This sample was diluted differently than the rest, that is why the Ct values give different copiesperml"
2,TC,CTAT87,SARSCOV2N1,Undetermined,14.28571429,0.014285714,AS-20-05-11,5/11/2020,5.09,2,
3,TC,CTAT87,SARSCOV2N1,36.8189888,11996.4913,11.9964913,AS-20-05-18,5/18/2020,1.432,1,
4,TC,CTAT87,SARSCOV2N1,39.1109848,278.1154002,0.2781154,AS-20-05-18,5/18/2020,1.432,2,
5,TC,CTAT87,SARSCOV2N1,39.04748917,294.0375464,0.294037546,AS-20-05-18,5/18/2020,1.432,3,
6,TC,CTAT87,SARSCOV2N1,Undetermined,357.1428571,0.357142857,AS-20-05-25,5/25/2020,7.074,1,
7,TC,CTAT87,SARSCOV2N1,Undetermined,357.1428571,0.357142857,AS-20-05-25,5/25/2020,7.074,2,
8,TC,CTAT87,SARSCOV2N1,Undetermined,357.1428571,0.357142857,AS-20-05-25,5/25/2020,7.074,3,
9,TC,CTAT87,SARSCOV2N1,Undetermined,357.1428571,0.357142857,AS-20-06-01,6/1/2020,6.164,1,
10,TC,CTAT87,SARSCOV2N1,Undetermined,357.1428571,0.357142857,AS-20-06-01,6/1/2020,6.164,2,
11,TC,CTAT87,SARSCOV2N1,Undetermined,357.1428571,0.357142857,AS-20-06-01,6/1/2020,6.164,3,
12,TC,CTAT87,SARSCOV2N1,38.1,875,0.875,AS-20-06-08,6/8/2020,6.179,1,
13,TC,CTAT87,SARSCOV2N1,39,446.4285714,0.446428571,AS-20-06-08,6/8/2020,6.179,2,
14,TC,CTAT87,SARSCOV2N1,Undetermined,714.2857143,0.714285714,AS-20-06-15,6/15/2020,6.033,1,
15,TC,CTAT87,SARSCOV2N1,392.8571429,392.8571429,0.392857143,AS-20-06-15,6/15/2020,6.033,2,
16,TC,CTAT87,SARSCOV2N1,37.9,1500,1.5,AS-20-06-22,6/22/2020,6.56,1,
17,TC,CTAT87,SARSCOV2N1,38.4,966.6666667,0.966666667,AS-20-06-22,6/22/2020,6.56,2,
18,TC,CTAT87,SARSCOV2N1,Undetermined,666.6666667,0.666666667,AS-20-06-29,6/29/2020,6.378,1,
19,TC,CTAT87,SARSCOV2N1,Undetermined,666.6666667,0.666666667,AS-20-06-29,6/29/2020,6.378,2,
20,TC,CTAT87,SARSCOV2N1,39.1830368,293.9449747,0.293944975,AS-20-06-29,6/29/2020,6.378,3,
21,TC,CTAT87,SARSCOV2N1,Undetermined,6666.666667,6.666666667,AS-20-07-06,7/6/2020,6.147,1,We switched methods from PEG based to HA based capture here
22,TC,CTAT87,SARSCOV2N1,37.6,18333.33333,18.33333333,AS-20-07-06,7/6/2020,6.147,2,
23,TC,CTAT87,SARSCOV2N1,38.9,7000,7,AS-20-07-06,7/6/2020,6.147,3,
24,TC,CTAT87,SARSCOV2N1,Undetermined,6666.666667,6.666666667,AS-20-07-13,7/13/2020,6.133,1,
25,TC,CTAT87,SARSCOV2N1,Undetermined,6666.666667,6.666666667,AS-20-07-13,7/13/2020,6.133,2,
26,TC,CTAT87,SARSCOV2N1,38.1,13000,13,AS-20-07-13,7/13/2020,6.133,3,
27,TC,CTAT87,SARSCOV2N1,Undetermined,6666.666667,6.666666667,AS-20-07-20,7/20/2020,6.562,1,
28,TC,CTAT87,SARSCOV2N1,3.9,13000,13,AS-20-07-20,7/20/2020,6.562,2,
