"","LocationAbbr","CMMR_Barcode","Target","Ct","copiesperml","SampleName","date_of_collection"
"1","JT","JHWHWB","CHIKUNGUNYA","Undetermined",0,"JT-23-11-07",2023-11-07
"2","JT","JHWHWB","CHIKUNGUNYA","Undetermined",0,"JT-23-11-07",2023-11-07
"3","FH","QXWHMY","CHIKUNGUNYA","Undetermined",0,"FH-23-11-07",2023-11-07
"4","FH","QXWHMY","CHIKUNGUNYA","Undetermined",0,"FH-23-11-07",2023-11-07
"5","HS","W97BKF","CHIKUNGUNYA","Undetermined",0,"HS-23-11-07",2023-11-07
"6","HS","W97BKF","CHIKUNGUNYA","Undetermined",0,"HS-23-11-07",2023-11-07
"7","RB","BE9BPP","CHIKUNGUNYA","Undetermined",0,"RB-23-11-07",2023-11-07
"8","RB","BE9BPP","CHIKUNGUNYA","Undetermined",0,"RB-23-11-07",2023-11-07
"9","AS","Y7XGDQ","CHIKUNGUNYA","Undetermined",0,"AS-23-11-07",2023-11-07
"10","AS","Y7XGDQ","CHIKUNGUNYA","Undetermined",0,"AS-23-11-07",2023-11-07
"11","TC","CNTEXH","CHIKUNGUNYA","Undetermined",0,"TC-23-11-07",2023-11-07
"12","TC","CNTEXH","CHIKUNGUNYA","Undetermined",0,"TC-23-11-07",2023-11-07
"13","MC","K9QUDW","CHIKUNGUNYA","Undetermined",0,"MC-23-11-07",2023-11-07
"14","MC","K9QUDW","CHIKUNGUNYA","Undetermined",0,"MC-23-11-07",2023-11-07
"15","IA","G2SQEA","CHIKUNGUNYA","Undetermined",0,"IA-23-11-07",2023-11-07
"16","IA","G2SQEA","CHIKUNGUNYA","Undetermined",0,"IA-23-11-07",2023-11-07
"17","HO","T9AE5S","CHIKUNGUNYA","Undetermined",0,"HO-23-11-07",2023-11-07
"18","HO","T9AE5S","CHIKUNGUNYA","Undetermined",0,"HO-23-11-07",2023-11-07
"19","LB","FZ4D8J","CHIKUNGUNYA","Undetermined",0,"LB_TX1-23-11-07",2023-11-07
"20","LB","FZ4D8J","CHIKUNGUNYA","Undetermined",0,"LB_TX1-23-11-07",2023-11-07
"21","WF","XSUDVU","CHIKUNGUNYA","Undetermined",0,"Wichita Falls-23-11-07",2023-11-07
"22","WF","XSUDVU","CHIKUNGUNYA","Undetermined",0,"Wichita Falls-23-11-07",2023-11-07
"23","BC","AGNCQ7","CHIKUNGUNYA","Undetermined",0,"BTC-2023-11-06",2023-11-06
"24","BC","AGNCQ7","CHIKUNGUNYA","Undetermined",0,"BTC-2023-11-06",2023-11-06
"25","BW","EDVEST","CHIKUNGUNYA","Undetermined",0,"BTW-2023-11-06",2023-11-06
"26","BW","EDVEST","CHIKUNGUNYA","Undetermined",0,"BTW-2023-11-06",2023-11-06
"27","HW","LMZRL4","CHIKUNGUNYA","Undetermined",0,"HW-2023-11-06",2023-11-06
"28","HW","LMZRL4","CHIKUNGUNYA","Undetermined",0,"HW-2023-11-06",2023-11-06
"29","FR","KQ6C8N","CHIKUNGUNYA","Undetermined",0,"Fon-2023-11-06",2023-11-06
"30","FR","KQ6C8N","CHIKUNGUNYA","Undetermined",0,"Fon-2023-11-06",2023-11-06
"31","S1","EJNRJS","CHIKUNGUNYA","Undetermined",0,"49887004-A",2023-11-07
"32","S1","EJNRJS","CHIKUNGUNYA","Undetermined",0,"49887004-A",2023-11-07
"33","S2","W7QWNA","CHIKUNGUNYA","Undetermined",0,"49887005-A",2023-11-07
"34","S2","W7QWNA","CHIKUNGUNYA","Undetermined",0,"49887005-A",2023-11-07
"35","WC","TWJ4MP","CHIKUNGUNYA","Undetermined",0,"POPS1105",2023-11-07
"36","WC","TWJ4MP","CHIKUNGUNYA","Undetermined",0,"POPS1105",2023-11-07
"37","B1","MTNL9Q","CHIKUNGUNYA","Undetermined",0,"BSR- 11823",2023-11-09
"38","B1","MTNL9Q","CHIKUNGUNYA","Undetermined",0,"BSR- 11823",2023-11-09
"39","B2","WGQF8W","CHIKUNGUNYA","Undetermined",0,"SABIB- 11823",2023-11-09
"40","B2","WGQF8W","CHIKUNGUNYA","Undetermined",0,"SABIB- 11823",2023-11-09
"41","JT","JHWHWB","DENGUE","Undetermined",0,"JT-23-11-07",2023-11-07
"42","JT","JHWHWB","DENGUE","Undetermined",0,"JT-23-11-07",2023-11-07
"43","FH","QXWHMY","DENGUE","Undetermined",0,"FH-23-11-07",2023-11-07
"44","FH","QXWHMY","DENGUE","Undetermined",0,"FH-23-11-07",2023-11-07
"45","HS","W97BKF","DENGUE","Undetermined",0,"HS-23-11-07",2023-11-07
"46","HS","W97BKF","DENGUE","Undetermined",0,"HS-23-11-07",2023-11-07
"47","RB","BE9BPP","DENGUE","Undetermined",0,"RB-23-11-07",2023-11-07
"48","RB","BE9BPP","DENGUE","Undetermined",0,"RB-23-11-07",2023-11-07
"49","AS","Y7XGDQ","DENGUE","Undetermined",0,"AS-23-11-07",2023-11-07
"50","AS","Y7XGDQ","DENGUE","Undetermined",0,"AS-23-11-07",2023-11-07
"51","TC","CNTEXH","DENGUE","Undetermined",0,"TC-23-11-07",2023-11-07
"52","TC","CNTEXH","DENGUE","Undetermined",0,"TC-23-11-07",2023-11-07
"53","MC","K9QUDW","DENGUE","Undetermined",0,"MC-23-11-07",2023-11-07
"54","MC","K9QUDW","DENGUE","Undetermined",0,"MC-23-11-07",2023-11-07
"55","IA","G2SQEA","DENGUE","Undetermined",0,"IA-23-11-07",2023-11-07
"56","IA","G2SQEA","DENGUE","Undetermined",0,"IA-23-11-07",2023-11-07
"57","HO","T9AE5S","DENGUE","Undetermined",0,"HO-23-11-07",2023-11-07
"58","HO","T9AE5S","DENGUE","Undetermined",0,"HO-23-11-07",2023-11-07
"59","LB","FZ4D8J","DENGUE","Undetermined",0,"LB_TX1-23-11-07",2023-11-07
"60","LB","FZ4D8J","DENGUE","Undetermined",0,"LB_TX1-23-11-07",2023-11-07
"61","WF","XSUDVU","DENGUE","Undetermined",0,"Wichita Falls-23-11-07",2023-11-07
"62","WF","XSUDVU","DENGUE","Undetermined",0,"Wichita Falls-23-11-07",2023-11-07
"63","BC","AGNCQ7","DENGUE","Undetermined",0,"BTC-2023-11-06",2023-11-06
"64","BC","AGNCQ7","DENGUE","Undetermined",0,"BTC-2023-11-06",2023-11-06
"65","BW","EDVEST","DENGUE","Undetermined",0,"BTW-2023-11-06",2023-11-06
"66","BW","EDVEST","DENGUE","Undetermined",0,"BTW-2023-11-06",2023-11-06
"67","HW","LMZRL4","DENGUE","Undetermined",0,"HW-2023-11-06",2023-11-06
"68","HW","LMZRL4","DENGUE","Undetermined",0,"HW-2023-11-06",2023-11-06
"69","FR","KQ6C8N","DENGUE","Undetermined",0,"Fon-2023-11-06",2023-11-06
"70","FR","KQ6C8N","DENGUE","Undetermined",0,"Fon-2023-11-06",2023-11-06
"71","S1","EJNRJS","DENGUE","Undetermined",0,"49887004-A",2023-11-07
"72","S1","EJNRJS","DENGUE","Undetermined",0,"49887004-A",2023-11-07
"73","S2","W7QWNA","DENGUE","Undetermined",0,"49887005-A",2023-11-07
"74","S2","W7QWNA","DENGUE","Undetermined",0,"49887005-A",2023-11-07
"75","WC","TWJ4MP","DENGUE","Undetermined",0,"POPS1105",2023-11-07
"76","WC","TWJ4MP","DENGUE","Undetermined",0,"POPS1105",2023-11-07
"77","B1","MTNL9Q","DENGUE","Undetermined",0,"BSR- 11823",2023-11-09
"78","B1","MTNL9Q","DENGUE","Undetermined",0,"BSR- 11823",2023-11-09
"79","B2","WGQF8W","DENGUE","Undetermined",0,"SABIB- 11823",2023-11-09
"80","B2","WGQF8W","DENGUE","Undetermined",0,"SABIB- 11823",2023-11-09
"81","JT","JHWHWB","ENTERO","Undetermined",0,"JT-23-11-07",2023-11-07
"82","JT","JHWHWB","ENTERO","Undetermined",0,"JT-23-11-07",2023-11-07
"83","FH","QXWHMY","ENTERO","Undetermined",0,"FH-23-11-07",2023-11-07
"84","FH","QXWHMY","ENTERO","Undetermined",0,"FH-23-11-07",2023-11-07
"85","HS","W97BKF","ENTERO","Undetermined",0,"HS-23-11-07",2023-11-07
"86","HS","W97BKF","ENTERO","Undetermined",0,"HS-23-11-07",2023-11-07
"87","RB","BE9BPP","ENTERO","Undetermined",0,"RB-23-11-07",2023-11-07
"88","RB","BE9BPP","ENTERO","Undetermined",0,"RB-23-11-07",2023-11-07
"89","AS","Y7XGDQ","ENTERO","Undetermined",0,"AS-23-11-07",2023-11-07
"90","AS","Y7XGDQ","ENTERO","Undetermined",0,"AS-23-11-07",2023-11-07
"91","TC","CNTEXH","ENTERO","Undetermined",0,"TC-23-11-07",2023-11-07
"92","TC","CNTEXH","ENTERO","Undetermined",0,"TC-23-11-07",2023-11-07
"93","MC","K9QUDW","ENTERO","Undetermined",0,"MC-23-11-07",2023-11-07
"94","MC","K9QUDW","ENTERO","Undetermined",0,"MC-23-11-07",2023-11-07
"95","IA","G2SQEA","ENTERO","Undetermined",0,"IA-23-11-07",2023-11-07
"96","IA","G2SQEA","ENTERO","Undetermined",0,"IA-23-11-07",2023-11-07
"97","HO","T9AE5S","ENTERO","Undetermined",0,"HO-23-11-07",2023-11-07
"98","HO","T9AE5S","ENTERO","Undetermined",0,"HO-23-11-07",2023-11-07
"99","LB","FZ4D8J","ENTERO","Undetermined",0,"LB_TX1-23-11-07",2023-11-07
"100","LB","FZ4D8J","ENTERO","Undetermined",0,"LB_TX1-23-11-07",2023-11-07
"101","WF","XSUDVU","ENTERO","Undetermined",0,"Wichita Falls-23-11-07",2023-11-07
"102","WF","XSUDVU","ENTERO","Undetermined",0,"Wichita Falls-23-11-07",2023-11-07
"103","BC","AGNCQ7","ENTERO","Undetermined",0,"BTC-2023-11-06",2023-11-06
"104","BC","AGNCQ7","ENTERO","Undetermined",0,"BTC-2023-11-06",2023-11-06
"105","BW","EDVEST","ENTERO","Undetermined",0,"BTW-2023-11-06",2023-11-06
"106","BW","EDVEST","ENTERO","Undetermined",0,"BTW-2023-11-06",2023-11-06
"107","HW","LMZRL4","ENTERO","Undetermined",0,"HW-2023-11-06",2023-11-06
"108","HW","LMZRL4","ENTERO","Undetermined",0,"HW-2023-11-06",2023-11-06
"109","FR","KQ6C8N","ENTERO","Undetermined",0,"Fon-2023-11-06",2023-11-06
"110","FR","KQ6C8N","ENTERO","Undetermined",0,"Fon-2023-11-06",2023-11-06
"111","S1","EJNRJS","ENTERO","Undetermined",0,"49887004-A",2023-11-07
"112","S1","EJNRJS","ENTERO","Undetermined",0,"49887004-A",2023-11-07
"113","S2","W7QWNA","ENTERO","Undetermined",0,"49887005-A",2023-11-07
"114","S2","W7QWNA","ENTERO","Undetermined",0,"49887005-A",2023-11-07
"115","WC","TWJ4MP","ENTERO","Undetermined",0,"POPS1105",2023-11-07
"116","WC","TWJ4MP","ENTERO","Undetermined",0,"POPS1105",2023-11-07
"117","B1","MTNL9Q","ENTERO","Undetermined",0,"BSR- 11823",2023-11-09
"118","B1","MTNL9Q","ENTERO","Undetermined",0,"BSR- 11823",2023-11-09
"119","B2","WGQF8W","ENTERO","Undetermined",0,"SABIB- 11823",2023-11-09
"120","B2","WGQF8W","ENTERO","Undetermined",0,"SABIB- 11823",2023-11-09
"121","JT","JHWHWB","NOROVIRUS","Undetermined",0,"JT-23-11-07",2023-11-07
"122","JT","JHWHWB","NOROVIRUS","Undetermined",0,"JT-23-11-07",2023-11-07
"123","FH","QXWHMY","NOROVIRUS","31.709",781433.198,"FH-23-11-07",2023-11-07
"124","FH","QXWHMY","NOROVIRUS","30.508",1793009.325,"FH-23-11-07",2023-11-07
"125","HS","W97BKF","NOROVIRUS","Undetermined",0,"HS-23-11-07",2023-11-07
"126","HS","W97BKF","NOROVIRUS","Undetermined",0,"HS-23-11-07",2023-11-07
"127","RB","BE9BPP","NOROVIRUS","Undetermined",0,"RB-23-11-07",2023-11-07
"128","RB","BE9BPP","NOROVIRUS","Undetermined",0,"RB-23-11-07",2023-11-07
"129","AS","Y7XGDQ","NOROVIRUS","36.29",32899.262,"AS-23-11-07",2023-11-07
"130","AS","Y7XGDQ","NOROVIRUS","Undetermined",0,"AS-23-11-07",2023-11-07
"131","TC","CNTEXH","NOROVIRUS","30.754",1512337.128,"TC-23-11-07",2023-11-07
"132","TC","CNTEXH","NOROVIRUS","30.796",1469048.052,"TC-23-11-07",2023-11-07
"133","MC","K9QUDW","NOROVIRUS","33.607",210325.465,"MC-23-11-07",2023-11-07
"134","MC","K9QUDW","NOROVIRUS","32.081",604199.2,"MC-23-11-07",2023-11-07
"135","IA","G2SQEA","NOROVIRUS","32.49",455268.113,"IA-23-11-07",2023-11-07
"136","IA","G2SQEA","NOROVIRUS","31.592",847338.662,"IA-23-11-07",2023-11-07
"137","HO","T9AE5S","NOROVIRUS","31.692",790673.098,"HO-23-11-07",2023-11-07
"138","HO","T9AE5S","NOROVIRUS","30.446",1871419.441,"HO-23-11-07",2023-11-07
