sample_ID	variant	proportion	coverage
Y5EC7M.p1823	JN.1.2	0.33333333	10.189613082299434
Y5EC7M.p1823	JN.1.1	0.33333333	10.189613082299434
Y5EC7M.p1823	JN.1	0.33333333	10.189613082299434
BK3XCF.p1823	JN.1.1.1	0.1	9.039226833428085
BK3XCF.p1823	JN.1.1	0.1	9.039226833428085
BK3XCF.p1823	JN.1	0.1	9.039226833428085
BK3XCF.p1823	JN.2.1	0.1	9.039226833428085
BK3XCF.p1823	JN.7	0.1	9.039226833428085
BK3XCF.p1823	JN.10	0.1	9.039226833428085
BK3XCF.p1823	JN.2	0.1	9.039226833428085
BK3XCF.p1823	JN.3	0.1	9.039226833428085
BK3XCF.p1823	JN.6	0.1	9.039226833428085
BK3XCF.p1823	JN.8	0.1	9.039226833428085
