"","LocationAbbr","CMMR_Barcode","Target","Ct","copiesperml","SampleName","date_of_collection"
"1","JT","EYNNFJ","CHIKUNGUNYA","Undetermined",0,"JT-23-25231",2023-08-01
"2","JT","EYNNFJ","CHIKUNGUNYA","Undetermined",0,"JT-23-25231",2023-08-01
"3","FH","V4X5ZM","CHIKUNGUNYA","Undetermined",0,"FH-23-25232",2023-08-01
"4","FH","V4X5ZM","CHIKUNGUNYA","Undetermined",0,"FH-23-25232",2023-08-01
"5","HS","ZQP3RF","CHIKUNGUNYA","Undetermined",0,"HS-23-25233",2023-08-01
"6","HS","ZQP3RF","CHIKUNGUNYA","Undetermined",0,"HS-23-25233",2023-08-01
"7","RB","EDZGWH","CHIKUNGUNYA","Undetermined",0,"RB-23-25234",2023-08-01
"8","RB","EDZGWH","CHIKUNGUNYA","Undetermined",0,"RB-23-25234",2023-08-01
"9","AS","NTG9TN","CHIKUNGUNYA","Undetermined",0,"AS-23-08-01",2023-08-01
"10","AS","NTG9TN","CHIKUNGUNYA","Undetermined",0,"AS-23-08-01",2023-08-01
"11","MC","UV6LDT","CHIKUNGUNYA","Undetermined",0,"MC-23-08-01",2023-08-01
"12","MC","UV6LDT","CHIKUNGUNYA","Undetermined",0,"MC-23-08-01",2023-08-01
"13","IA","S4NUFU","CHIKUNGUNYA","Undetermined",0,"IA-23-08-01",2023-08-01
"14","IA","S4NUFU","CHIKUNGUNYA","Undetermined",0,"IA-23-08-01",2023-08-01
"15","PT","ERQXCH","CHIKUNGUNYA","Undetermined",0,"PT-23-08-01",2023-08-01
"16","PT","ERQXCH","CHIKUNGUNYA","Undetermined",0,"PT-23-08-01",2023-08-01
"17","HO","KEQR9Y","CHIKUNGUNYA","Undetermined",0,"HO-23-08-01",2023-08-01
"18","HO","KEQR9Y","CHIKUNGUNYA","Undetermined",0,"HO-23-08-01",2023-08-01
"19","LB","D8WSLS","CHIKUNGUNYA","Undetermined",0,"LB_TX1 -2023-08-01",2023-08-01
"20","LB","D8WSLS","CHIKUNGUNYA","Undetermined",0,"LB_TX1 -2023-08-01",2023-08-01
"21","WF","TQQ52A","CHIKUNGUNYA","Undetermined",0,"Wichita Falls--08-01",2023-08-01
"22","WF","TQQ52A","CHIKUNGUNYA","Undetermined",0,"Wichita Falls--08-01",2023-08-01
"23","BC","UFBJTQ","CHIKUNGUNYA","Undetermined",0,"BTC-2023-08-01",2023-08-02
"24","BC","UFBJTQ","CHIKUNGUNYA","Undetermined",0,"BTC-2023-08-01",2023-08-02
"25","BW","VYMD8L","CHIKUNGUNYA","Undetermined",0,"BTW-2023-08-01",2023-08-02
"26","BW","VYMD8L","CHIKUNGUNYA","Undetermined",0,"BTW-2023-08-01",2023-08-02
"27","HW","NRZDAL","CHIKUNGUNYA","Undetermined",0,"HW-2023-08-01",2023-08-02
"28","HW","NRZDAL","CHIKUNGUNYA","Undetermined",0,"HW-2023-08-01",2023-08-02
"29","FR","E344QA","CHIKUNGUNYA","Undetermined",0,"Fon-2023-08-01",2023-08-02
"30","FR","E344QA","CHIKUNGUNYA","Undetermined",0,"Fon-2023-08-01",2023-08-02
"31","S1","J2ZQC2","CHIKUNGUNYA","Undetermined",0,"48294313-A",2023-08-01
"32","S1","J2ZQC2","CHIKUNGUNYA","Undetermined",0,"48294313-A",2023-08-01
"33","S2","HGVK37","CHIKUNGUNYA","Undetermined",0,"48294314-A",2023-08-01
"34","S2","HGVK37","CHIKUNGUNYA","Undetermined",0,"48294314-A",2023-08-01
"35","WC","WQP752","CHIKUNGUNYA","Undetermined",0,"48292402-A",2023-08-01
"36","WC","WQP752","CHIKUNGUNYA","Undetermined",0,"48292402-A",2023-08-01
"37","B1","QMMGRG","CHIKUNGUNYA","Undetermined",0,"BSR8223",2023-08-03
"38","B1","QMMGRG","CHIKUNGUNYA","Undetermined",0,"BSR8223",2023-08-03
"39","B2","CG5VBJ","CHIKUNGUNYA","Undetermined",0,"SABIB8223",2023-08-03
"40","B2","CG5VBJ","CHIKUNGUNYA","Undetermined",0,"SABIB8223",2023-08-03
"41","JT","EYNNFJ","DENGUE","Undetermined",0,"JT-23-25231",2023-08-01
"42","JT","EYNNFJ","DENGUE","Undetermined",0,"JT-23-25231",2023-08-01
"43","FH","V4X5ZM","DENGUE","Undetermined",0,"FH-23-25232",2023-08-01
"44","FH","V4X5ZM","DENGUE","Undetermined",0,"FH-23-25232",2023-08-01
"45","HS","ZQP3RF","DENGUE","Undetermined",0,"HS-23-25233",2023-08-01
"46","HS","ZQP3RF","DENGUE","Undetermined",0,"HS-23-25233",2023-08-01
"47","RB","EDZGWH","DENGUE","Undetermined",0,"RB-23-25234",2023-08-01
"48","RB","EDZGWH","DENGUE","Undetermined",0,"RB-23-25234",2023-08-01
"49","AS","NTG9TN","DENGUE","Undetermined",0,"AS-23-08-01",2023-08-01
"50","AS","NTG9TN","DENGUE","Undetermined",0,"AS-23-08-01",2023-08-01
"51","MC","UV6LDT","DENGUE","Undetermined",0,"MC-23-08-01",2023-08-01
"52","MC","UV6LDT","DENGUE","Undetermined",0,"MC-23-08-01",2023-08-01
"53","IA","S4NUFU","DENGUE","Undetermined",0,"IA-23-08-01",2023-08-01
"54","IA","S4NUFU","DENGUE","Undetermined",0,"IA-23-08-01",2023-08-01
"55","PT","ERQXCH","DENGUE","Undetermined",0,"PT-23-08-01",2023-08-01
"56","PT","ERQXCH","DENGUE","Undetermined",0,"PT-23-08-01",2023-08-01
"57","HO","KEQR9Y","DENGUE","Undetermined",0,"HO-23-08-01",2023-08-01
"58","HO","KEQR9Y","DENGUE","Undetermined",0,"HO-23-08-01",2023-08-01
"59","LB","D8WSLS","DENGUE","Undetermined",0,"LB_TX1 -2023-08-01",2023-08-01
"60","LB","D8WSLS","DENGUE","Undetermined",0,"LB_TX1 -2023-08-01",2023-08-01
"61","WF","TQQ52A","DENGUE","Undetermined",0,"Wichita Falls--08-01",2023-08-01
"62","WF","TQQ52A","DENGUE","Undetermined",0,"Wichita Falls--08-01",2023-08-01
"63","BC","UFBJTQ","DENGUE","Undetermined",0,"BTC-2023-08-01",2023-08-02
"64","BC","UFBJTQ","DENGUE","Undetermined",0,"BTC-2023-08-01",2023-08-02
"65","BW","VYMD8L","DENGUE","Undetermined",0,"BTW-2023-08-01",2023-08-02
"66","BW","VYMD8L","DENGUE","Undetermined",0,"BTW-2023-08-01",2023-08-02
"67","HW","NRZDAL","DENGUE","Undetermined",0,"HW-2023-08-01",2023-08-02
"68","HW","NRZDAL","DENGUE","Undetermined",0,"HW-2023-08-01",2023-08-02
"69","FR","E344QA","DENGUE","Undetermined",0,"Fon-2023-08-01",2023-08-02
"70","FR","E344QA","DENGUE","Undetermined",0,"Fon-2023-08-01",2023-08-02
"71","S1","J2ZQC2","DENGUE","Undetermined",0,"48294313-A",2023-08-01
"72","S1","J2ZQC2","DENGUE","Undetermined",0,"48294313-A",2023-08-01
"73","S2","HGVK37","DENGUE","Undetermined",0,"48294314-A",2023-08-01
"74","S2","HGVK37","DENGUE","Undetermined",0,"48294314-A",2023-08-01
"75","WC","WQP752","DENGUE","Undetermined",0,"48292402-A",2023-08-01
"76","WC","WQP752","DENGUE","Undetermined",0,"48292402-A",2023-08-01
"77","B1","QMMGRG","DENGUE","Undetermined",0,"BSR8223",2023-08-03
"78","B1","QMMGRG","DENGUE","Undetermined",0,"BSR8223",2023-08-03
"79","B2","CG5VBJ","DENGUE","Undetermined",0,"SABIB8223",2023-08-03
"80","B2","CG5VBJ","DENGUE","Undetermined",0,"SABIB8223",2023-08-03
"81","JT","EYNNFJ","ENTERO","Undetermined",0,"JT-23-25231",2023-08-01
"82","JT","EYNNFJ","ENTERO","Undetermined",0,"JT-23-25231",2023-08-01
"83","FH","V4X5ZM","ENTERO","Undetermined",0,"FH-23-25232",2023-08-01
"84","FH","V4X5ZM","ENTERO","Undetermined",0,"FH-23-25232",2023-08-01
"85","HS","ZQP3RF","ENTERO","Undetermined",0,"HS-23-25233",2023-08-01
"86","HS","ZQP3RF","ENTERO","Undetermined",0,"HS-23-25233",2023-08-01
"87","RB","EDZGWH","ENTERO","Undetermined",0,"RB-23-25234",2023-08-01
"88","RB","EDZGWH","ENTERO","Undetermined",0,"RB-23-25234",2023-08-01
"89","AS","NTG9TN","ENTERO","Undetermined",0,"AS-23-08-01",2023-08-01
"90","AS","NTG9TN","ENTERO","Undetermined",0,"AS-23-08-01",2023-08-01
"91","MC","UV6LDT","ENTERO","Undetermined",0,"MC-23-08-01",2023-08-01
"92","MC","UV6LDT","ENTERO","Undetermined",0,"MC-23-08-01",2023-08-01
"93","IA","S4NUFU","ENTERO","Undetermined",0,"IA-23-08-01",2023-08-01
"94","IA","S4NUFU","ENTERO","Undetermined",0,"IA-23-08-01",2023-08-01
"95","PT","ERQXCH","ENTERO","Undetermined",0,"PT-23-08-01",2023-08-01
"96","PT","ERQXCH","ENTERO","Undetermined",0,"PT-23-08-01",2023-08-01
"97","HO","KEQR9Y","ENTERO","Undetermined",0,"HO-23-08-01",2023-08-01
"98","HO","KEQR9Y","ENTERO","Undetermined",0,"HO-23-08-01",2023-08-01
"99","LB","D8WSLS","ENTERO","Undetermined",0,"LB_TX1 -2023-08-01",2023-08-01
"100","LB","D8WSLS","ENTERO","Undetermined",0,"LB_TX1 -2023-08-01",2023-08-01
"101","WF","TQQ52A","ENTERO","Undetermined",0,"Wichita Falls--08-01",2023-08-01
"102","WF","TQQ52A","ENTERO","Undetermined",0,"Wichita Falls--08-01",2023-08-01
"103","BC","UFBJTQ","ENTERO","Undetermined",0,"BTC-2023-08-01",2023-08-02
"104","BC","UFBJTQ","ENTERO","Undetermined",0,"BTC-2023-08-01",2023-08-02
"105","BW","VYMD8L","ENTERO","Undetermined",0,"BTW-2023-08-01",2023-08-02
"106","BW","VYMD8L","ENTERO","Undetermined",0,"BTW-2023-08-01",2023-08-02
"107","HW","NRZDAL","ENTERO","Undetermined",0,"HW-2023-08-01",2023-08-02
"108","HW","NRZDAL","ENTERO","Undetermined",0,"HW-2023-08-01",2023-08-02
"109","FR","E344QA","ENTERO","Undetermined",0,"Fon-2023-08-01",2023-08-02
"110","FR","E344QA","ENTERO","Undetermined",0,"Fon-2023-08-01",2023-08-02
"111","S1","J2ZQC2","ENTERO","Undetermined",0,"48294313-A",2023-08-01
"112","S1","J2ZQC2","ENTERO","Undetermined",0,"48294313-A",2023-08-01
"113","S2","HGVK37","ENTERO","Undetermined",0,"48294314-A",2023-08-01
"114","S2","HGVK37","ENTERO","Undetermined",0,"48294314-A",2023-08-01
"115","WC","WQP752","ENTERO","Undetermined",0,"48292402-A",2023-08-01
"116","WC","WQP752","ENTERO","Undetermined",0,"48292402-A",2023-08-01
"117","B1","QMMGRG","ENTERO","Undetermined",0,"BSR8223",2023-08-03
"118","B1","QMMGRG","ENTERO","Undetermined",0,"BSR8223",2023-08-03
"119","B2","CG5VBJ","ENTERO","Undetermined",0,"SABIB8223",2023-08-03
"120","B2","CG5VBJ","ENTERO","Undetermined",0,"SABIB8223",2023-08-03
"121","JT","EYNNFJ","NOROVIRUS","33.076",303613.646,"JT-23-25231",2023-08-01
"122","JT","EYNNFJ","NOROVIRUS","32.843",356714.93,"JT-23-25231",2023-08-01
"123","FH","V4X5ZM","NOROVIRUS","Undetermined",0,"FH-23-25232",2023-08-01
"124","FH","V4X5ZM","NOROVIRUS","Undetermined",0,"FH-23-25232",2023-08-01
"125","HS","ZQP3RF","NOROVIRUS","Undetermined",0,"HS-23-25233",2023-08-01
"126","HS","ZQP3RF","NOROVIRUS","36.672",25256.976,"HS-23-25233",2023-08-01
"127","RB","EDZGWH","NOROVIRUS","42.845",353.718,"RB-23-25234",2023-08-01
"128","RB","EDZGWH","NOROVIRUS","35.141",72841.914,"RB-23-25234",2023-08-01
"129","AS","NTG9TN","NOROVIRUS","Undetermined",0,"AS-23-08-01",2023-08-01
"130","AS","NTG9TN","NOROVIRUS","41.743",757.807,"AS-23-08-01",2023-08-01
"131","MC","UV6LDT","NOROVIRUS","33.621",208256.019,"MC-23-08-01",2023-08-01
"132","MC","UV6LDT","NOROVIRUS","31.966",654341.96,"MC-23-08-01",2023-08-01
"133","IA","S4NUFU","NOROVIRUS","31.546",874905.057,"IA-23-08-01",2023-08-01
"134","IA","S4NUFU","NOROVIRUS","32.41",481394.88,"IA-23-08-01",2023-08-01
"135","PT","ERQXCH","NOROVIRUS","Undetermined",0,"PT-23-08-01",2023-08-01
"136","PT","ERQXCH","NOROVIRUS","Undetermined",0,"PT-23-08-01",2023-08-01
"137","HO","KEQR9Y","NOROVIRUS","Undetermined",0,"HO-23-08-01",2023-08-01
"138","HO","KEQR9Y","NOROVIRUS","34.262",133738.122,"HO-23-08-01",2023-08-01
"139","LB","D8WSLS","NOROVIRUS","Undetermined",0,"LB_TX1 -2023-08-01",2023-08-01
"140","LB","D8WSLS","NOROVIRUS","Undetermined",0,"LB_TX1 -2023-08-01",2023-08-01
"141","WF","TQQ52A","NOROVIRUS","Undetermined",0,"Wichita Falls--08-01",2023-08-01
"142","WF","TQQ52A","NOROVIRUS","Undetermined",0,"Wichita Falls--08-01",2023-08-01
"143","BC","UFBJTQ","NOROVIRUS","Undetermined",0,"BTC-2023-08-01",2023-08-02
"144","BC","UFBJTQ","NOROVIRUS","Undetermined",0,"BTC-2023-08-01",2023-08-02
"145","BW","VYMD8L","NOROVIRUS","Undetermined",0,"BTW-2023-08-01",2023-08-02
"146","BW","VYMD8L","NOROVIRUS","Undetermined",0,"BTW-2023-08-01",2023-08-02
"147","HW","NRZDAL","NOROVIRUS","35.603",52904.481,"HW-2023-08-01",2023-08-02
"148","HW","NRZDAL","NOROVIRUS","40.422",1889.101,"HW-2023-08-01",2023-08-02
"149","FR","E344QA","NOROVIRUS","Undetermined",0,"Fon-2023-08-01",2023-08-02
"150","FR","E344QA","NOROVIRUS","Undetermined",0,"Fon-2023-08-01",2023-08-02
"151","S1","J2ZQC2","NOROVIRUS","32.57",430916.733,"48294313-A",2023-08-01
"152","S1","J2ZQC2","NOROVIRUS","32.711",390994.94,"48294313-A",2023-08-01
"153","S2","HGVK37","NOROVIRUS","39.762",2983.484,"48294314-A",2023-08-01
"154","S2","HGVK37","NOROVIRUS","37.835",11303.741,"48294314-A",2023-08-01
"155","WC","WQP752","NOROVIRUS","Undetermined",0,"48292402-A",2023-08-01
"156","WC","WQP752","NOROVIRUS","36.687",25008.466,"48292402-A",2023-08-01
"157","B1","QMMGRG","NOROVIRUS","31.404",965102.719,"BSR8223",2023-08-03
"158","B1","QMMGRG","NOROVIRUS","30.217",2192653.142,"BSR8223",2023-08-03
"159","B2","CG5VBJ","NOROVIRUS","37.018",19885.545,"SABIB8223",2023-08-03
"160","B2","CG5VBJ","NOROVIRUS","37.65",12843.626,"SABIB8223",2023-08-03
"161","JT","EYNNFJ","RSVA","Undetermined",0,"JT-23-25231",2023-08-01
"162","JT","EYNNFJ","RSVA","Undetermined",0,"JT-23-25231",2023-08-01
"163","FH","V4X5ZM","RSVA","Undetermined",0,"FH-23-25232",2023-08-01
"164","FH","V4X5ZM","RSVA","Undetermined",0,"FH-23-25232",2023-08-01
"165","HS","ZQP3RF","RSVA","Undetermined",0,"HS-23-25233",2023-08-01
"166","HS","ZQP3RF","RSVA","Undetermined",0,"HS-23-25233",2023-08-01
"167","RB","EDZGWH","RSVA","Undetermined",0,"RB-23-25234",2023-08-01
"168","RB","EDZGWH","RSVA","Undetermined",0,"RB-23-25234",2023-08-01
"169","AS","NTG9TN","RSVA","Undetermined",0,"AS-23-08-01",2023-08-01
"170","AS","NTG9TN","RSVA","Undetermined",0,"AS-23-08-01",2023-08-01
"171","MC","UV6LDT","RSVA","Undetermined",0,"MC-23-08-01",2023-08-01
"172","MC","UV6LDT","RSVA","Undetermined",0,"MC-23-08-01",2023-08-01
"173","IA","S4NUFU","RSVA","Undetermined",0,"IA-23-08-01",2023-08-01
"174","IA","S4NUFU","RSVA","Undetermined",0,"IA-23-08-01",2023-08-01
"175","PT","ERQXCH","RSVA","Undetermined",0,"PT-23-08-01",2023-08-01
"176","PT","ERQXCH","RSVA","Undetermined",0,"PT-23-08-01",2023-08-01
"177","HO","KEQR9Y","RSVA","Undetermined",0,"HO-23-08-01",2023-08-01
"178","HO","KEQR9Y","RSVA","Undetermined",0,"HO-23-08-01",2023-08-01
"179","LB","D8WSLS","RSVA","Undetermined",0,"LB_TX1 -2023-08-01",2023-08-01
"180","LB","D8WSLS","RSVA","Undetermined",0,"LB_TX1 -2023-08-01",2023-08-01
"181","WF","TQQ52A","RSVA","Undetermined",0,"Wichita Falls--08-01",2023-08-01
"182","WF","TQQ52A","RSVA","Undetermined",0,"Wichita Falls--08-01",2023-08-01
"183","BC","UFBJTQ","RSVA","Undetermined",0,"BTC-2023-08-01",2023-08-02
"184","BC","UFBJTQ","RSVA","Undetermined",0,"BTC-2023-08-01",2023-08-02
"185","BW","VYMD8L","RSVA","Undetermined",0,"BTW-2023-08-01",2023-08-02
"186","BW","VYMD8L","RSVA","Undetermined",0,"BTW-2023-08-01",2023-08-02
"187","HW","NRZDAL","RSVA","Undetermined",0,"HW-2023-08-01",2023-08-02
"188","HW","NRZDAL","RSVA","Undetermined",0,"HW-2023-08-01",2023-08-02
"189","FR","E344QA","RSVA","Undetermined",0,"Fon-2023-08-01",2023-08-02
"190","FR","E344QA","RSVA","Undetermined",0,"Fon-2023-08-01",2023-08-02
"191","S1","J2ZQC2","RSVA","Undetermined",0,"48294313-A",2023-08-01
"192","S1","J2ZQC2","RSVA","Undetermined",0,"48294313-A",2023-08-01
"193","S2","HGVK37","RSVA","Undetermined",0,"48294314-A",2023-08-01
"194","S2","HGVK37","RSVA","Undetermined",0,"48294314-A",2023-08-01
"195","WC","WQP752","RSVA","Undetermined",0,"48292402-A",2023-08-01
"196","WC","WQP752","RSVA","Undetermined",0,"48292402-A",2023-08-01
"197","B1","QMMGRG","RSVA","Undetermined",0,"BSR8223",2023-08-03
"198","B1","QMMGRG","RSVA","Undetermined",0,"BSR8223",2023-08-03
"199","B2","CG5VBJ","RSVA","Undetermined",0,"SABIB8223",2023-08-03
"200","B2","CG5VBJ","RSVA","Undetermined",0,"SABIB8223",2023-08-03
"201","JT","EYNNFJ","RSVB","Undetermined",0,"JT-23-25231",2023-08-01
"202","JT","EYNNFJ","RSVB","Undetermined",0,"JT-23-25231",2023-08-01
"203","FH","V4X5ZM","RSVB","Undetermined",0,"FH-23-25232",2023-08-01
"204","FH","V4X5ZM","RSVB","Undetermined",0,"FH-23-25232",2023-08-01
"205","HS","ZQP3RF","RSVB","Undetermined",0,"HS-23-25233",2023-08-01
"206","HS","ZQP3RF","RSVB","Undetermined",0,"HS-23-25233",2023-08-01
"207","RB","EDZGWH","RSVB","Undetermined",0,"RB-23-25234",2023-08-01
"208","RB","EDZGWH","RSVB","Undetermined",0,"RB-23-25234",2023-08-01
"209","AS","NTG9TN","RSVB","Undetermined",0,"AS-23-08-01",2023-08-01
"210","AS","NTG9TN","RSVB","Undetermined",0,"AS-23-08-01",2023-08-01
"211","MC","UV6LDT","RSVB","Undetermined",0,"MC-23-08-01",2023-08-01
"212","MC","UV6LDT","RSVB","Undetermined",0,"MC-23-08-01",2023-08-01
"213","IA","S4NUFU","RSVB","Undetermined",0,"IA-23-08-01",2023-08-01
"214","IA","S4NUFU","RSVB","Undetermined",0,"IA-23-08-01",2023-08-01
"215","PT","ERQXCH","RSVB","Undetermined",0,"PT-23-08-01",2023-08-01
"216","PT","ERQXCH","RSVB","Undetermined",0,"PT-23-08-01",2023-08-01
"217","HO","KEQR9Y","RSVB","Undetermined",0,"HO-23-08-01",2023-08-01
"218","HO","KEQR9Y","RSVB","Undetermined",0,"HO-23-08-01",2023-08-01
"219","LB","D8WSLS","RSVB","Undetermined",0,"LB_TX1 -2023-08-01",2023-08-01
"220","LB","D8WSLS","RSVB","Undetermined",0,"LB_TX1 -2023-08-01",2023-08-01
"221","WF","TQQ52A","RSVB","Undetermined",0,"Wichita Falls--08-01",2023-08-01
"222","WF","TQQ52A","RSVB","Undetermined",0,"Wichita Falls--08-01",2023-08-01
