"","LocationAbbr","CMMR_Barcode","Target","Ct","copiesperml","SampleName","date_of_collection"
"1","JT","N3AGSE","CHIKUNGUNYA","Undetermined",0,"JT-23-10-24",2023-10-24
"2","JT","N3AGSE","CHIKUNGUNYA","Undetermined",0,"JT-23-10-24",2023-10-24
"3","FH","UWQVTH","CHIKUNGUNYA","Undetermined",0,"FH-23-10-24",2023-10-24
"4","FH","UWQVTH","CHIKUNGUNYA","Undetermined",0,"FH-23-10-24",2023-10-24
"5","HS","GUR8GW","CHIKUNGUNYA","Undetermined",0,"HS-23-10-24",2023-10-24
"6","HS","GUR8GW","CHIKUNGUNYA","Undetermined",0,"HS-23-10-24",2023-10-24
"7","RB","EGM3NF","CHIKUNGUNYA","Undetermined",0,"RB-23-10-24",2023-10-24
"8","RB","EGM3NF","CHIKUNGUNYA","Undetermined",0,"RB-23-10-24",2023-10-24
"9","AS","PQQTBE","CHIKUNGUNYA","Undetermined",0,"AS-23-10-25",2023-10-25
"10","AS","PQQTBE","CHIKUNGUNYA","Undetermined",0,"AS-23-10-25",2023-10-25
"11","TC","WX2VP8","CHIKUNGUNYA","Undetermined",0,"TC-23-10-25",2023-10-25
"12","TC","WX2VP8","CHIKUNGUNYA","Undetermined",0,"TC-23-10-25",2023-10-25
"13","MC","MZX3EM","CHIKUNGUNYA","Undetermined",0,"MC-23-10-25",2023-10-25
"14","MC","MZX3EM","CHIKUNGUNYA","Undetermined",0,"MC-23-10-25",2023-10-25
"15","IA","KL43LR","CHIKUNGUNYA","Undetermined",0,"IA-23-10-25",2023-10-25
"16","IA","KL43LR","CHIKUNGUNYA","Undetermined",0,"IA-23-10-25",2023-10-25
"17","PT","NCKWCU","CHIKUNGUNYA","Undetermined",0,"PT-23-10-25",2023-10-25
"18","PT","NCKWCU","CHIKUNGUNYA","Undetermined",0,"PT-23-10-25",2023-10-25
"19","HO","JX9DVP","CHIKUNGUNYA","Undetermined",0,"HO-23-10-25",2023-10-25
"20","HO","JX9DVP","CHIKUNGUNYA","Undetermined",0,"HO-23-10-25",2023-10-25
"21","LB","HKB6EQ","CHIKUNGUNYA","Undetermined",0,"LB_TX1-23-10-24",2023-10-24
"22","LB","HKB6EQ","CHIKUNGUNYA","Undetermined",0,"LB_TX1-23-10-24",2023-10-24
"23","WF","SDKA2M","CHIKUNGUNYA","Undetermined",0,"Wichita Falls-23-10-24",2023-10-24
"24","WF","SDKA2M","CHIKUNGUNYA","Undetermined",0,"Wichita Falls-23-10-24",2023-10-24
"25","BC","JT5ESZ","CHIKUNGUNYA","Undetermined",0,"BTC-2023-10-25",2023-10-25
"26","BC","JT5ESZ","CHIKUNGUNYA","Undetermined",0,"BTC-2023-10-25",2023-10-25
"27","BW","BHFGV3","CHIKUNGUNYA","Undetermined",0,"BTW-2023-10-25",2023-10-25
"28","BW","BHFGV3","CHIKUNGUNYA","Undetermined",0,"BTW-2023-10-25",2023-10-25
"29","HW","WYR9ZS","CHIKUNGUNYA","Undetermined",0,"HW-2023-10-25",2023-10-25
"30","HW","WYR9ZS","CHIKUNGUNYA","Undetermined",0,"HW-2023-10-25",2023-10-25
"31","FR","ZW5Q4T","CHIKUNGUNYA","Undetermined",0,"Fon-2023-10-25",2023-10-25
"32","FR","ZW5Q4T","CHIKUNGUNYA","Undetermined",0,"Fon-2023-10-25",2023-10-25
"33","S1","S4B6HT","CHIKUNGUNYA","Undetermined",0,"49653405-A",2023-10-24
"34","S1","S4B6HT","CHIKUNGUNYA","Undetermined",0,"49653405-A",2023-10-24
"35","S2","RKX3HU","CHIKUNGUNYA","Undetermined",0,"49653404-A",2023-10-24
"36","S2","RKX3HU","CHIKUNGUNYA","Undetermined",0,"49653404-A",2023-10-24
"37","WC","FD87YG","CHIKUNGUNYA","Undetermined",0,"0PS1022",2023-10-24
"38","WC","FD87YG","CHIKUNGUNYA","Undetermined",0,"0PS1022",2023-10-24
"39","B1","WY8GTA","CHIKUNGUNYA","Undetermined",0,"BSR-102523",2023-10-26
"40","B1","WY8GTA","CHIKUNGUNYA","Undetermined",0,"BSR-102523",2023-10-26
"41","B2","WMFQQA","CHIKUNGUNYA","Undetermined",0,"SABIB-102523",2023-10-26
