accession	Sequence_length	Sequence_name	taxid	kingdom	phylum	class	order	family	genus	species	subspecies	strain
AB000906.1	9650	Infectious flacherie virus genomic RNA, complete sequence	12742	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Iflaviridae	Iflavirus	Infectious flacherie virus	unclassified Infectious flacherie virus subspecies/strain	unclassified Infectious flacherie virus strain
AB003289.1	8953	GB virus C gene for polyprotein, complete cds, isolate: CG01BD	54290	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Pegivirus	Pegivirus C	GB virus C	GB virus C
AB003292.1	8930	GB virus C gene for polyprotein, complete cds, isolate: G05BD	54290	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Pegivirus	Pegivirus C	GB virus C	GB virus C
AB005795.1	15384	Sendai virus genomic RNA, antisense, complete sequence	11191	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Paramyxoviridae	Respirovirus	Murine respirovirus	unclassified Murine respirovirus subspecies/strain	unclassified Murine respirovirus strain
AB006531.1	8797	Plautia stali intestine virus RNA for nonstructural polyprotein, capsid protein precursor, complete cds	64698	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Dicistroviridae	Triatovirus	Plautia stali intestine virus	unclassified Plautia stali intestine virus subspecies/strain	unclassified Plautia stali intestine virus strain
AB008254.1	750	Human rotavirus 4 NSP4 gene, complete cds, strain: 88-104	35336	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Rotavirus G4	Rotavirus G4
AB008298.1	2359	Human rotavirus 4 VP4 gene, complete cds, strain: 88-104	35336	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Rotavirus G4	Rotavirus G4
AB008673.1	613	Human rotavirus C mRNA for NSP4, complete cds	10943	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus C	Human rotavirus C	Human rotavirus C
AB009625.2	1042	Avian rotavirus PO-13 gene for NSP2, complete cds	195700	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Avian rotavirus PO-13	Avian rotavirus PO-13
AB009626.2	1092	Avian rotavirus PO-13 gene for NSP3, complete cds	195700	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Avian rotavirus PO-13	Avian rotavirus PO-13
AB009627.1	727	Avian rotavirus PO-13 gene for NSP4, complete cds	195700	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Avian rotavirus PO-13	Avian rotavirus PO-13
AB009628.1	729	Avian rotavirus PO-13 gene for NSP5, complete cds	195700	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Avian rotavirus PO-13	Avian rotavirus PO-13
AB009629.2	3305	Avian rotavirus PO-13 gene for VP1, complete cds	195700	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Avian rotavirus PO-13	Avian rotavirus PO-13
AB009630.2	2738	Avian rotavirus PO-13 gene for VP2, complete cds	195700	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Avian rotavirus PO-13	Avian rotavirus PO-13
AB009631.2	2583	Avian rotavirus PO-13 gene for VP3, complete cds	195700	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Avian rotavirus PO-13	Avian rotavirus PO-13
AB009632.2	2349	Avian rotavirus PO-13 gene for VP4, complete cds	195700	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Avian rotavirus PO-13	Avian rotavirus PO-13
AB009633.2	1870	Avian rotavirus PO-13 gene for NSP1, complete cds	195700	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Avian rotavirus PO-13	Avian rotavirus PO-13
AB009958.2	6794	Satsuma dwarf virus genomic RNA (RNA1) for polyprotein, complete cds	47416	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Secoviridae	Sadwavirus	Satsuma dwarf virus	unclassified Satsuma dwarf virus subspecies/strain	unclassified Satsuma dwarf virus strain
AB009959.2	5344	Satsuma dwarf virus genomic RNA (RNA2) for polyprotein, complete cds	47416	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Secoviridae	Sadwavirus	Satsuma dwarf virus	unclassified Satsuma dwarf virus subspecies/strain	unclassified Satsuma dwarf virus strain
AB010145.1	8251	Aichi virus genomic RNA, complete genome	1313215	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Kobuvirus	Aichivirus A	Aichi virus 1	Aichi virus 1
AB011024.1	1944	Oat sterile dwarf virus genomic RNA segment 7 with two ORFs, complete cds	73147	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Fijivirus	Oat sterile dwarf virus	unclassified Oat sterile dwarf virus subspecies/strain	unclassified Oat sterile dwarf virus strain
AB011025.1	1874	Oat sterile dwarf virus genomic RNA segment 8 with one ORF, complete cds	73147	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Fijivirus	Oat sterile dwarf virus	unclassified Oat sterile dwarf virus subspecies/strain	unclassified Oat sterile dwarf virus strain
AB011026.1	1893	Oat sterile dwarf virus genomic RNA segment 9 with one ORF, complete cds	73147	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Fijivirus	Oat sterile dwarf virus	unclassified Oat sterile dwarf virus subspecies/strain	unclassified Oat sterile dwarf virus strain
AB011027.1	1761	Oat sterile dwarf virus genomic RNA segement 10 with two ORFs, complete cds	73147	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Fijivirus	Oat sterile dwarf virus	unclassified Oat sterile dwarf virus subspecies/strain	unclassified Oat sterile dwarf virus strain
AB014725.1	3055	Chuzan virus gene for outer capsid protein VP2, complete cds	77204	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Palyam virus	Chuzan virus	Chuzan virus
