accession	reference_length	covered_bases	reads_aligned	mean_coverage	RPKMF	sequence_name	taxid	kingdom	phylum	class	order	family	genus	species	subspecies	strain	sample_ID	total_filtered_reads_in_sample
NC_039477.1	7567	1639	152	2.9339356	0.859562	Norovirus GII, complete genome	122929	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus	Norovirus GII	Norovirus GII	NCTEUL.p1689	23369148
NC_039475.1	7556	3250	353	6.7044287	1.99912	Norovirus GII.17, complete genome	552592	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus	Norovirus GII.17	Norovirus GII.17	NCTEUL.p1689	23369148
AM749299.1	33763	2711	104	0.50188917	0.13181	Human adenovirus type 31 complete genome, serotype 31	10529	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus A	Human adenovirus 31	Human adenovirus 31	NCTEUL.p1689	23369148
NC_045512.2	29903	1224	414	1.9095217	0.592438	Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome	2697049	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	Severe acute respiratory syndrome coronavirus 2	Severe acute respiratory syndrome coronavirus 2	NCTEUL.p1689	23369148
KY316160.1	34169	13080	1404	5.74332	1.7583	Human adenovirus 41 isolate SH/2015/D16, complete genome	10524	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus F	Human adenovirus 41	Human adenovirus 41	NCTEUL.p1689	23369148
L19443.1	34214	2680	195	0.8118542	0.243887	Human adenovirus F, complete genome	130309	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus F	unclassified Human mastadenovirus F subspecies/strain	unclassified Human mastadenovirus F strain	NCTEUL.p1689	23369148
AB010145.1	8251	2890	133	2.226762	0.689767	Aichi virus genomic RNA, complete genome	1313215	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Kobuvirus	Aichivirus A	Aichi virus 1	Aichi virus 1	NCTEUL.p1689	23369148
AB186897.1	2525	1396	124	6.5082107	2.10144	Human picobirnavirus RNA segment 1 genomic RNA, complete sequence	145856	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Picobirnaviridae	Orthopicobirnavirus	Orthopicobirnavirus hominis	Human picobirnavirus	Human picobirnavirus	NCTEUL.p1689	23369148
AB308374.1	6673	2715	182	3.9759314	1.1671	Mamastrovirus 1 genomic RNA, complete genome, isolate: V1347	1239565	Viruses	Pisuviricota	Stelpaviricetes	Stellavirales	Astroviridae	Mamastrovirus	Mamastrovirus 1	unclassified Mamastrovirus 1 subspecies/strain	unclassified Mamastrovirus 1 strain	NCTEUL.p1689	23369148
AF043303.1	4679	2776	217	6.765511	1.98456	Adeno-associated virus 2, complete genome	10804	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Dependoparvovirus	Adeno-associated dependoparvovirus A	adeno-associated virus 2	adeno-associated virus 2	NCTEUL.p1689	23369148
AF260508.1	6759	2836	366	7.8707824	2.31716	Human astrovirus type 8, complete genome	43358	Viruses	Pisuviricota	Stelpaviricetes	Stellavirales	Astroviridae	Mamastrovirus	Mamastrovirus 1	Human astrovirus 8	Human astrovirus 8	NCTEUL.p1689	23369148
AF401755.1	2359	2344	1954	120.62019	35.4449	Human rotavirus G2 strain KO-2 VP4 gene, complete cds	73034	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Rotavirus G2	Rotavirus G2	NCTEUL.p1689	23369148
AY720891.1	6723	1694	111	2.1486385	0.706508	Human astrovirus type 4 strain Dresden, complete genome	35300	Viruses	Pisuviricota	Stelpaviricetes	Stellavirales	Astroviridae	Mamastrovirus	Mamastrovirus 1	Human astrovirus 4	Human astrovirus 4	NCTEUL.p1689	23369148
D14723.1	2363	1024	92	5.7627654	1.66602	Rotavirus sp. FRV64 mRNA for VP4 (VP8 and VP5 region) complete cds	39010	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Feline rotavirus	Feline rotavirus frv-64	Feline rotavirus frv-64	NCTEUL.p1689	23369148
DQ125333.1	7437	1825	132	2.496226	0.75951	Sapovirus Hu/Angelholm/SW278/2004/SE polyprotein mRNA, complete cds; and unknown genes	343513	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Sapovirus	Sapporo virus	Sapovirus Hu/Angelholm/SW278/2004/SE	Sapovirus Hu/Angelholm/SW278/2004/SE	NCTEUL.p1689	23369148
EF059918.1	750	729	3571	738.7683	203.744	Human rotavirus G12 strain CAU 195 NSP4 gene, complete cds	215680	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Rotavirus G12	Rotavirus G12	NCTEUL.p1689	23369148
EF059923.1	2359	2307	3771	241.12404	68.4047	Human rotavirus G9 strain CAU 202 VP4 gene, complete cds	42567	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Rotavirus G9	Rotavirus G9	NCTEUL.p1689	23369148
