accession	reference_length	covered_bases	reads_mapped	avg_coverage	Sample_ID	PoolID
NC_011507.2	18562	591	139	2.3221812	A9AUEL	p1835
NC_044854.1	7693	77	1	0.01020814	A9AUEL	p1835
NC_001959.2	7654	87	1	0.011593817	A9AUEL	p1835
NC_039897.1	7745	232	14	0.22119816	A9AUEL	p1835
NC_040876.1	7521	680	20	0.36752138	A9AUEL	p1835
NC_039477.1	7567	7209	6065	114.6659	A9AUEL	p1835
NC_039475.1	7556	7070	3060	57.333107	A9AUEL	p1835
NC_039476.1	7536	6571	1974	36.866234	A9AUEL	p1835
JX017384.1	7412	146	2	0.03841917	A9AUEL	p1835
KT280503.1	7332	151	14	0.2801448	A9AUEL	p1835
KX868289.2	33676	2541	338	1.3685796	A9AUEL	p1835
GU191019.1	34177	864	32	0.12704617	A9AUEL	p1835
AM749299.1	33763	20575	3149	13.028234	A9AUEL	p1835
MT505439.1	34777	888	49	0.15609206	A9AUEL	p1835
JN032132.1	34762	359	27	0.0861262	A9AUEL	p1835
AY737797.1	34775	550	35	0.12603611	A9AUEL	p1835
AC_000019.1	34794	462	31	0.087201245	A9AUEL	p1835
AC_000017.1	36001	4849	567	2.2456276	A9AUEL	p1835
AC_000007.1	35937	2277	210	0.77167684	A9AUEL	p1835
AC_000008.1	35938	4935	512	1.9535599	A9AUEL	p1835
AB746853.1	34978	743	52	0.21275985	A9AUEL	p1835
JQ326209.1	35153	7567	1605	6.3910522	A9AUEL	p1835
AB448776.1	35215	5525	714	2.7996008	A9AUEL	p1835
KX514431.1	7809	162	8	0.14949733	A9AUEL	p1835
NC_007455.1	5299	307	17	0.4484366	A9AUEL	p1835
NC_012564.1	5242	5157	2330	61.636097	A9AUEL	p1835
NC_012042.1	5196	2977	700	18.279034	A9AUEL	p1835
NC_012729.2	5104	920	45	1.2369802	A9AUEL	p1835
FJ349096.1	35758	2009	87	0.33262187	A9AUEL	p1835
NC_045512.2	29903	1665	121	0.5624643	A9AUEL	p1835
V01150.1	7441	96	2	0.11411329	A9AUEL	p1835
MG212488.1	7435	99	1	0.0135895675	A9AUEL	p1835
MG212470.1	7442	99	1	0.0135765225	A9AUEL	p1835
KY316160.1	34169	34067	120042	494.55646	A9AUEL	p1835
L19443.1	34214	7085	5133	20.6469	A9AUEL	p1835
AB008254.1	750	169	3	0.51666665	A9AUEL	p1835
AB008298.1	2359	885	27	1.3476686	A9AUEL	p1835
AB008673.1	613	384	42	10.721382	A9AUEL	p1835
AB010145.1	8251	5780	969	16.680532	A9AUEL	p1835
AB186897.1	2525	2047	563	31.761263	A9AUEL	p1835
AB205396.1	7460	122	3	0.019015048	A9AUEL	p1835
AB220921.1	7559	1208	48	0.8617897	A9AUEL	p1835
AB308374.1	6673	4085	1605	34.29741	A9AUEL	p1835
AB331651.1	7399	110	5	0.1339495	A9AUEL	p1835
AB365435.1	7627	1086	103	1.7853417	A9AUEL	p1835
AB433629.1	7349	134	1	0.018613696	A9AUEL	p1835
